,name,username,user_id,verified,location,source,lang,text,possibly_sensitive,edit_history_tweet_ids,tweet_id,created_at,type
32,Alberto Cerritos,macm1234,438112042.0,False,,Twitter for Android,es,@miseleccionmx @Lc24C In Europe,False,['1597298777798627329'],1597298777798627329,2022-11-28 18:37:59+00:00,replied_to
33,andres v,andresvd81,9.819330663808287e+17,False,Leon guanajuato,Twitter for Android,es,"Nothing to worry about, Tata is a football revolutionary and @miseleccionmx is saving the goals against Arabia.
😅😅😅😅😅",False,['1597298777475665922'],1597298777475665922,2022-11-28 18:37:59+00:00,
34,RAUL PUENTE CEDILLO,chachopuente,487808853.0,False,mexico,Twitter for Android,es,"@miseleccionmx @HenryMartinM I think they should ""risk"" putting 2 forwards, Henry and Funes Mori, we need goals and it's not unreasonable to put 2 center forwards.",False,['1597298770223697920'],1597298770223697920,2022-11-28 18:37:57+00:00,replied_to
35,Manuel Vega,_ManuelV_,7.196504684866519e+17,False,Aún sin lugar fijo,Twitter for iPhone,es,@RaulOrvananos @miseleccionmx You are taking a long time to go to Chihuahua and also play with 5 defenders behind so they don't beat you,False,['1597298753546768385'],1597298753546768385,2022-11-28 18:37:53+00:00,replied_to
36,Alex S.,alexsansores,146594172.0,False,CDMX,Twitter for Android,es,@RigoSalda @MiguelAngelBris @miseleccionmx The team is worse than any coach,False,['1597298735431974913'],1597298735431974913,2022-11-28 18:37:49+00:00,replied_to
37,𝘼 𝙎 𝙃 𝙇 𝙀 𝙔 🇲🇽,ashley___one,1.0629758207073116e+18,False,"Laredo, TX",Twitter for iPhone,qme,@miseleccionmx @UnVasoDeLALA https://t.co/MbIx4oi7VS,False,['1597298715282505728'],1597298715282505728,2022-11-28 18:37:44+00:00,replied_to
38,Salvador,Salvado88289703,1.3917076608741294e+18,False,,Twitter for iPhone,qme,@miseleccionmx @UnVasoDeLALA https://t.co/TjM0FMXz0o,False,['1597298652938395648'],1597298652938395648,2022-11-28 18:37:29+00:00,replied_to
39,pank,adrianpanke,1302478538.0,False,Haedo,Twitter for Android,es,@ErnestoAmador @miseleccionmx Everyone!,False,['1597298628804370432'],1597298628804370432,2022-11-28 18:37:24+00:00,replied_to
40,Juan sifuntes Carlos,JuanSc73,507779387.0,False,,Twitter for iPhone,qme,@miseleccionmx https://t.co/cvosQP9sIV,False,['1597298609829347328'],1597298609829347328,2022-11-28 18:37:19+00:00,replied_to
41,Yair Contreras Ríos,YairContrerasR2,1.5344107147225743e+18,False,,Twitter for Android,es,"@miseleccionmx @HenryMartinM Play without a coach, you didn't realize how that fucking director showed us, and you crouch for wanting a few minutes of the World Cup, what a bad raul, what a bad guard, Antuna? What is missing, play funes?",False,['1597298592170983424'],1597298592170983424,2022-11-28 18:37:15+00:00,replied_to
42,Edgar Luna Cruz,sepiatata,2731969829.0,False,San Juan de Aragón pos Covid.,Twitter Web App,es,"Meanwhile, the little princesses of the misnamed #SeleccionMexicana only have in mind to photograph themselves and their relatives with the players who do score goals
But hey, what can be expected if the fans will still receive them as if they were returning with the #WorldCup
@miseleccionmx https://t.co/j8GkJhZ62X",False,['1597298589503746048'],1597298589503746048,2022-11-28 18:37:14+00:00,quoted
43,PaulCC,paulcc12,628918466.0,False,No where,Twitter for iPhone,qme,@miseleccionmx @Lc24C https://t.co/W4u3LdYorq,False,['1597298567726919683'],1597298567726919683,2022-11-28 18:37:09+00:00,replied_to
44,Ivan Mancilla,IvanMan25540325,1.0703103591001539e+18,False,,Twitter for iPhone,es,"@TotalmenteLeo @ClubAmerica @miseleccionmx The problem arose since Tata was not fired since the two consecutive losses vs 🇺🇸.
In the call that @CH14_ @DiegoLainez10 was not taken into account, Santi, Rocha and give guys like Acevedo a blank.
Also, they played not to lose and not to attack, so it's impossible 👍",False,['1597298533664976896'],1597298533664976896,2022-11-28 18:37:01+00:00,replied_to
45,Eloy M,Eloynd7,274127478.0,False,,Twitter for iPhone,qme,@miseleccionmx @HenryMartinM https://t.co/OxACvtg5yJ,False,['1597298532247310336'],1597298532247310336,2022-11-28 18:37:01+00:00,replied_to
46,Sid Vicious,nasacuata,1.5447211188581908e+18,False,,Twitter for Android,es,Headline please!!! https://t.co/tqbG3XN629,False,['1597298507047919616'],1597298507047919616,2022-11-28 18:36:55+00:00,quoted
47,oscaroirg,oscaroirg,384903161.0,False,,Twitter for Android,es,@juanmij @OmarDuranLanda @MiguelAngelBris @miseleccionmx 🤣🤣🤣🤣🤣🤣 without arguments,False,['1597298491784826880'],1597298491784826880,2022-11-28 18:36:51+00:00,replied_to
48,Abraham Lasnalg 🇶🇦 🇲🇽 🇺🇸,geo_jerry,2952998067.0,False,"Dallas, TX",Twitter for Android,es,@tntsportsmex @miseleccionmx @Lc24C Hahahahaha hahahahaha they spend themselves https://t.co/6UZ0DdWJrd,False,['1597298477595529218'],1597298477595529218,2022-11-28 18:36:48+00:00,replied_to
49,David Anguiano,Daviddialectica,296456265.0,False,México,Twitter Web App,es,@miseleccionmx fuck her mmmm,False,['1597298448063410176'],1597298448063410176,2022-11-28 18:36:41+00:00,replied_to
50,Enlapera,En_la_pera,1.5153654003131433e+18,False,,Twitter for Android,es,"@Mexican992 @Dr_PaulinoVigil @Faitelson_ESPN @miseleccionmx Don't pay attention to that old asshole from Paulino, they don't even want him in Panama.",False,['1597298395282288640'],1597298395282288640,2022-11-28 18:36:28+00:00,replied_to
51,La Silla Rota,lasillarota,152358615.0,True,"México, Distrito Federal",Twitter for Android,es,"Despite being on the verge of elimination, the @miseleccionmx will not resent it in the sponsors...
https://t.co/paeD3wUdqE",False,['1597298336373309441'],1597298336373309441,2022-11-28 18:36:14+00:00,
52,MANU MORA,073MORA,1169462150.0,False,"S.L.P, México",Twitter for iPhone,es,"Totally agree @miseleccionmx @Televisa @eazcarraga @RicardoBSalinas Yon de louisa, @MikelArriolaP, @LigaBBVAMX the owners of the teams who only see it for business, the truth is, Mexican soccer is rotten, I hope people stop supporting until there is a real change. https://t.co/ozk0XFnj13",False,['1597298270585622528'],1597298270585622528,2022-11-28 18:35:58+00:00,
53,aaron alcazar,aaronalcazar,124066352.0,False,,Twitter for Android,es,@lasillarota @miseleccionmx It was never there for me!,False,['1597298257813999616'],1597298257813999616,2022-11-28 18:35:55+00:00,replied_to
54,TORO 🇫🇮⚽️,MrToro07,2876240538.0,False,"Los Angeles, CA",Twitter for Android,es,"@Miguel_layun @Miguel_layun I share your opinion and maybe @Canelo accelerated like all of us, but I have a question about how a ""sweaty"" shirt got to the dressing room in Argentina, it means that someone at @miseleccionmx after the fuck had the shame of exchange it?🤔🤷",False,['1597298218315849728'],1597298218315849728,2022-11-28 18:35:46+00:00,replied_to
55,Rodolfo Rangel,rudyrangel93,1371325104.0,False,,Twitter for Android,es,@miseleccionmx @Lc24C Eliminated*,False,['1597298140658352129'],1597298140658352129,2022-11-28 18:35:27+00:00,replied_to
56,Cinthia Villa,arroba_cin,1435656824.0,False,"Guadalajara, Jalisco",Twitter for Android,es,"@miseleccionmx @UnVasoDeLALA Hey @Canelo and you don't want to find any of these firecrackers, as well as corrupt managers, they stain the name of Mexico with their farting team",False,['1597298139706576896'],1597298139706576896,2022-11-28 18:35:27+00:00,replied_to
57,Joaquin,Joaquin54835731,1.5749699029218263e+18,False,,Twitter for Android,es,"You're going to make history, you guys... I promise you....🤣😂 https://t.co/47N4X3o4Ho",False,['1597298136850239488'],1597298136850239488,2022-11-28 18:35:26+00:00,quoted
58,Pako Leal,pakito3k,2775835736.0,False,Nipomo ,Twitter Web App,es,"And this is how @miseleccionmx trains, they look like the old men from the ""Cachibol"" of the DIF (With all due respect to my old men), that's why they can't even last 20 minutes on the pitch at the top... https://t.co/pacI6MnLU2",False,['1597298071389736961'],1597298071389736961,2022-11-28 18:35:11+00:00,quoted
59,Diego M.,dgoony,2511023754.0,False,Desde la cdmx,Twitter for Android,es,"@RaulOrvananos @miseleccionmx Basic Sports Leadership Lessons:
1. Don't expect a project to be successful if you don't hire the person with the right profile to lead it, or even if he has the right profile, he doesn't have or lost professional interest in leading the project along the way.",False,['1597298062019690497'],1597298062019690497,2022-11-28 18:35:09+00:00,replied_to
60,Oscar,eseweyx,39417848.0,False,,Twitter for Android,es,"@Canelo I imagine that if you're that macho you're going to Box all the Mexican Americans who burned the Mexican flag.
Or are you a mouthy coward and just sell smoke?
You are making all the Mexican brothers who do not have burned heads like you look bad
@miseleccionmx https://t.co/7fypwtYqVI",False,['1597298055434600448'],1597298055434600448,2022-11-28 18:35:07+00:00,replied_to
61,Leunam Seliva,manaviles,110047337.0,False,Kiribati,TweetDeck,es,#Qatar2022 | Hope is still alive for @miseleccionmx https://t.co/Rty9PSsdCe,False,['1597298025453559811'],1597298025453559811,2022-11-28 18:35:00+00:00,
62,Masperfectaquenormal,Barbaralopezjv2,9.798460785509868e+17,False,,Twitter for Android,es,"My goodness, if an African like Ghana or an Asian like Korea were in our group, they would have thrashed us by now @miseleccionmx @CARLOSLGUERRERO @AlejandroGomezA @PasionWFM",False,['1597297991614095360'],1597297991614095360,2022-11-28 18:34:52+00:00,
63,Rafa Torres,Patottas,86085425.0,False,Mexico City / Tampa Bay Fl. ,Twitter for iPhone,es,@AdalFrancoESPN @miseleccionmx Agree,False,['1597297986392195072'],1597297986392195072,2022-11-28 18:34:50+00:00,replied_to
64,Antonio de Jesús Quioz Chavez,de_quioz,1.5097532983578255e+18,False,,Twitter for iPhone,es,@miseleccionmx 0 goals for the Tri in two World Cup games. It's time to unfreeze the Beautiful 🇲🇽 https://t.co/HVjxPoYSMf,False,['1597297985502646279'],1597297985502646279,2022-11-28 18:34:50+00:00,
65,Peter,PETER_HR,376516498.0,False,"Miguel Hidalgo, Distrito Feder",Twitter for Android,es,@TioMalin @lex54054481 @RaulOrvananos @miseleccionmx Santiago Baños that's how things are. The same,False,['1597297972781649920'],1597297972781649920,2022-11-28 18:34:47+00:00,replied_to
66,Luis Ballado,ballado18,82533083.0,False,,Twitter for iPhone,es,"@OmRomo @miseleccionmx Thanks for the information, we're going back to the studio 😎",False,['1597297911028912129'],1597297911028912129,2022-11-28 18:34:33+00:00,replied_to
67,iv4n mm,ivanmm_04,54681836.0,False,MÉXICO,Twitter for Android,qme,@FacuZanetti @miseleccionmx @Lc24C https://t.co/bmrk6jtDIi,False,['1597297892032933888'],1597297892032933888,2022-11-28 18:34:28+00:00,replied_to
68,noel,sonby12,123455165.0,False,sonora,Twitter for iPhone,es,@miseleccionmx Trunks,False,['1597297837926076416'],1597297837926076416,2022-11-28 18:34:15+00:00,replied_to
69,Sid Vicious,nasacuata,1.5447211188581908e+18,False,,Twitter Web App,es,"@andresn How is it possible that a squad with such fine players could not score a goal (I mean Tunisia).
From @miseleccionmx it seems more than normal to me.",False,['1597297795849154561'],1597297795849154561,2022-11-28 18:34:05+00:00,replied_to
70,MartinezCardoso,rugal760il,403764473.0,False,NYC,Twitter for iPhone,es,@miseleccionmx The mood is full..,False,['1597297790711140354'],1597297790711140354,2022-11-28 18:34:04+00:00,replied_to
71,Joe Cortez,JoeCort34981269,1.5650488416736092e+18,False,,Twitter for Android,es,"@miseleccionmx @Lc24C Why don't they play the last game without a coach? That's why I don't take any leader, so that they let themselves be manipulated, damn squats",False,['1597297709652017152'],1597297709652017152,2022-11-28 18:33:44+00:00,replied_to
72,Huguito Pérez,halexzerep,140640296.0,False,"Nariño Antioquia, Colombia.",Twitter for Android,es,@miseleccionmx @UnVasoDeLALA Aren't you ashamed of a ball of firecrackers?,False,['1597297665934766080'],1597297665934766080,2022-11-28 18:33:34+00:00,replied_to
73,ivan adalid,ivanadalid1,1.0084480026991124e+18,False,"Oaxaca, México",Twitter for iPhone,es,@mileleccionmx @HenryMartinM Best SWIMMING,False,['1597297643998191617'],1597297643998191617,2022-11-28 18:33:29+00:00,replied_to
74,Nayo,Leovega1927,7.499911847605985e+17,False,"Mexicali, Baja California",Twitter for Android,es,"Honestly, it is the worst team I have ever seen, and if they go to the next round, it would only make the fans suffer more because any team like Brazil, Spain, etc. would have to face nothing. 🤷🏻‍♀️ I'm just being honest, it's a shame @miseleccionmx.",False,['1597297637300252672'],1597297637300252672,2022-11-28 18:33:27+00:00,replied_to
75,Luis Nuñez,LuisNue20556406,2538280411.0,False,"La Paz, BCS",Twitter for iPhone,es,@ElRincondelAme @miseleccionmx The owners.,False,['1597297604182044674'],1597297604182044674,2022-11-28 18:33:19+00:00,replied_to
76,Geovanny Samayoa,ElMagiicoSama,84244510.0,False,#GuateAmala,Twitter for Android,es,"@peque191_avalos @miseleccionmx That's right, pull",False,['1597297552986374144'],1597297552986374144,2022-11-28 18:33:07+00:00,replied_to
77,Radial Llantas,RadialLlantas,47676653.0,False,México,Twitter for Android,es,@FOXSportsMX #Joachim #Löw for coach of @miseleccionmx,False,['1597297541162618880'],1597297541162618880,2022-11-28 18:33:04+00:00,replied_to
78,Julio VegA,JulioVe56076577,1.1287760415085404e+18,False,,Twitter for iPhone,es,"@miseleccionmx Well, there's no other choice, it's the last turn at bat... let's see what they do on Wednesday",False,['1597297457633062912'],1597297457633062912,2022-11-28 18:32:44+00:00,replied_to
79,Richard Emiliano G.,emitool,111103280.0,False,Mexico D.F. ,Twitter Web App,qme,@miseleccionmx @HenryMartinM https://t.co/r8a4BMibAu,False,['1597297445834485761'],1597297445834485761,2022-11-28 18:32:42+00:00,replied_to
80,Polo Aldana,PolooAldana,250491477.0,False,,Twitter for iPhone,es,@miseleccionmx Bultazos!! Chsm,False,['1597297411978047489'],1597297411978047489,2022-11-28 18:32:34+00:00,replied_to
81,Facu,FacuZanetti,57489073.0,False,"Monte Grande, Buenos Aires",Twitter for Android,es,"@miseleccionmx @Lc24C What a disgusting selection, they are a reflection of the two-peso league, corrupt managers, and a very silly hobby for wasting time and money on all that 💩💩💩💩💩",False,['1597297316654092288'],1597297316654092288,2022-11-28 18:32:11+00:00,replied_to
82,adn40,adn40,84398622.0,True,México,Twitter for Android,es,@miseleccionmx He can't wait for the ridiculous World Cup that they are starring in to end and not stop laughing,False,['1597297304028913664'],1597297304028913664,2022-11-28 18:32:08+00:00,replied_to
83,Lalo Mejía,EduMeja2,1.1279488992290284e+18,False,,Twitter Web App,es,"@Tamedamus @miseleccionmx The owners are businessmen and their priority is $, they provide the tools for the game and the coach and players are responsible for executing what they were hired for and they don't

guilty:
Tata puts approach and players
Players: They execute the instructions badly",False,['1597297295908708353'],1597297295908708353,2022-11-28 18:32:06+00:00,replied_to
84,SEBA 🇦🇷,sebane2010,1007912634.0,False,"San Nicolás de los Arroyos, Ar",Twitter for Android,es,"@ALFREDOSAADEV @miseleccionmx @Canelo @RedAMLOmx @FMF @afa @CFKArgentina @Francis73914361 And then what did the leftists do with the Colombian flags during the strike in the last government, what will it mean?",False,['1597297277093412864'],1597297277093412864,2022-11-28 18:32:01+00:00,replied_to
85,Contreras,ArmandoCR_24,259410101.0,False,Una ciudad cualquiera,Twitter for iPhone,es,"@HHerreramex @miseleccionmx You're an asshole. Slow, clumsy, old.",False,['1597297263973629952'],1597297263973629952,2022-11-28 18:31:58+00:00,replied_to
86,𝐉𝐨𝐡𝐧 𝐑 🦅🇺🇦,ElRincondelAme,1.5215418559215452e+18,False,,Twitter Web App,qme,@miseleccionmx https://t.co/AEPmfddQ20,False,['1597297223452479488'],1597297223452479488,2022-11-28 18:31:49+00:00,replied_to
87,EmilXD,shop350,166745753.0,False,,Twitter for Android,es,@miseleccionmx Hahaha don't suck. Hahaha Pack your bags FEMEXFUT managers!,False,['1597297218905481216'],1597297218905481216,2022-11-28 18:31:47+00:00,replied_to
88,andres solorza,solorzars,337367242.0,False,"Buin, Chile",Twitter for Android,es,"He must be a starter in the last game, because there will not be a fourth game. https://t.co/OWfD0EZOIn",False,['1597297177671311360'],1597297177671311360,2022-11-28 18:31:38+00:00,quoted
89,Julio Cesar Arevalo,julinho_rasec,750928778.0,False,"Las Vegas, NV",Twitter for Android,es,"Let's go with everything. 😎🇲🇽

#Mexico #MexicodemiVida #Qatar2022 #FIFAWorldCup #MexicoVsArabiaSaudita https://t.co/LG5rOsn3oA",False,['1597297131114889216'],1597297131114889216,2022-11-28 18:31:27+00:00,quoted
90,Ruben Trejo,coneraiders,1.4577040886409708e+18,False,"Chula Vista, CA",Twitter for Android,es,"@miseleccionmx Now for what, we are unofficially eliminated...",False,['1597297130280214528'],1597297130280214528,2022-11-28 18:31:26+00:00,replied_to
91,Rockvato stan ☆,lovatodd3mi,1.2223824494534124e+18,False,HOLY FVCK ❤,Twitter for Android,es,You already read @EugenioDerbez @OMARCHAPARRO these two assholes because of them the cinema is worse than fucking @miseleccionmx 🥴 https://t.co/FNt8qtQCi7,False,['1597297092900552704'],1597297092900552704,2022-11-28 18:31:17+00:00,quoted
92,Conejo Penalista,conejopenalista,1.4365684243276513e+18,False,,Twitter for iPhone,es,"@RaulOrvananos @miseleccionmx I don't think so, they already sent a Ferrari to Tata until Argentina",False,['1597297083559837696'],1597297083559837696,2022-11-28 18:31:15+00:00,replied_to
93,Futbolero,Futbol24siete_,1.4907743814626222e+18,False,,Twitter for Android,es,"@hdezcha87 @miseleccionmx @Lc24C That @HHerreramex should never return to the country, he even mocks",False,['1597297066992357376'],1597297066992357376,2022-11-28 18:31:11+00:00,replied_to
94,ALE,ale_xyz_,544809946.0,False,,Twitter for Android,qme,@miseleccionmx @Lc24C https://t.co/aIt07vRwip,False,['1597296979700514816'],1597296979700514816,2022-11-28 18:30:50+00:00,replied_to
95,GUSTAVO MORENO CABEL,GUSEXABOY,117584595.0,False,,Twitter for iPhone,es,"❓ Participate in the Survey that #IsTrend with @joseluismorag

Do you have hope in @miseleccionmx? 🇲🇽 https://t.co/X5VT15WE7T",False,['1597296917393731585'],1597296917393731585,2022-11-28 18:30:36+00:00,
96,𝙋𝙚𝙜𝙖𝙙𝙞𝙩𝙖 𝙖𝙡 𝙋𝙞𝙚,pegaditaalpie,106297685.0,False,"Monterrey, Nuevo León",Twitter for Android,es,"@RaulOrvananos @miseleccionmx 🤣🤣🤣🤣 With a crippled prick in the attack 🤣🤣🤣🤣

How this asshole from 🤬🤬🤬 bursts my balls",False,['1597296914407776256'],1597296914407776256,2022-11-28 18:30:35+00:00,replied_to
97,Gerard Loyer,GerardLoyerM,1.3589624132535296e+18,False,"Nuevo León, México",Twitter for iPhone,es,"From @NLarcamon all the dog life! A technician like this, young and with fresh ideas, needs the @miseleccionmx https://t.co/g945lJB4MY",False,['1597296886129389568'],1597296886129389568,2022-11-28 18:30:28+00:00,quoted
98,jaime salgado🇲🇽,jaisago,82702937.0,False,"guadalajara, jalisco.",Twitter Web App,es,@Patottas @miseleccionmx Who would be the main responsible Rafa?,False,['1597296840357326848'],1597296840357326848,2022-11-28 18:30:17+00:00,replied_to
