,text
84,"This is how Mexicans organize to take the party to Qatar
#Qatar2022 #Mundial #SeleccionMexicana

https://t.co/AXR4qEnoll"
85,"💥 Deporfans there is a shot!... Is Canelo right to threaten Messi for throwing away the National Team shirt? 🤔🔥

#Messi #CaneloAlvarez #Canelo #mexicanaselection"
86,"Does anyone have information on how many teams have not scored a goal after their second game?
#I wonder #Qatar2022 #FIFAWorldCup #SeleccionMexicana"
87,"We are so #MarchaDelPueblo, you are so #MexicanSelection #MediocreOpposition https://t.co/9oqu14DuBz"
88,"The Mexican National Team could have the first world cup without being able to score goals if they did not achieve it against Saudi Arabia
#Qatar2022 #SeleccionMexicana #Japon #FIFAWorldCupQatar2022
https://t.co/ziTZeiY9CJ"
89,"The Mexican team has ridiculed the country and has trampled the shirt worse! Stop your antics @Canelo unless you want to go break his mother to the national team, those do deserve it #SeleccionMexicana #NoMamar #Qatar2022EsLatina"
90,It's been almost 3 years since @Raul_Jimenez9's last double in October was done by @HenryMartinM and in September by @Santigim9 and @rogelio7funes in July. I hope something extraordinary happens and we update the statistics. #Mexican team
91,#Mexico #Mundial2022 #QatarWorldCup2022 #outofcontext #SeleccionMexicana https://t.co/bnTXQZZjXO
92,"#SocialMedia 📍 | Saúl #CaneloÁlvarez explodes against #LeoMessi.

🔴 The controversy occurred when the Argentine retired his tennis shoes inside the dressing room, after the victory against the #SelecciónMexicana with a score of 2-0, since it is perceived that he kicks a tri-color jersey. (1/2) https://t.co/FNCctppHan"
93,"Kando ""we judged"" fearsome and we didn't know it .....!?!?!? https://t.co/ZxpQXGP8Q9"
94,"@CABJRR_ @El_TataMartino He couldn't resist trying to help #Messi𓃵 by kicking an imaginary ball with his left foot, a moment before Messi scored the goal. #Lavolpe #SeleccionMexicana #DavidFaitelson #RaulOrvañanos #ChristianMartinoli #FueraTata"
95,"What a difference in cultures, South Korea losing as a worthy opponent to Ghana, it could be that they ask for a bottle of urine, to give it to the players of the Mexican team and see if that way they put a little love and webos #SeleccionMexicana #Qatar2022"
96,ORIBE PERALTA CRITIZES LACK OF TIME IN MEXICO PROJECTS IN WORLD CUPS. #Qatar2022 #SeleccionMexicana https://t.co/G8f8t6lNnp via @TUDNUSA
97,"@Faitelson_ESPN It happens that the @FMF is a company that has among its products #ligamx and #SeleccionMexicana, at the financial level it must be very good, but what it sells is shit, the quality of the product does not matter, they consume it anyway, do you want changes? stop consuming these products"
98,"Cosmiqueros excellent start to the week, we are so bad in soccer that this year not even soccer covers brought us smash, how is the tri going to have our support???
#dccomics #smash #seleccionmexicana https://t.co/4eS6kM4LuW"
99,"If @FEMEXFUTAC had half the talent of civil society to organize marches and used half the money from the #MarchaDelAcarreo, our #SeleccionMexicana would reach the semifinals, but just like #ElReyDelAcarreo, they only spend like asshole. 🤷🏻‍♂️🇲🇽
@miseleccionmx https://t.co/ZR0a2msBjz"
100,"The networks are flooded with tantrums and pathetic whining about the ""Mexican disappointment"", with the intent of analysis: Is there something new to analyze about its performance? Yes, it's the World Cup, but nothing surprises about its mediocre #SeleccionMexicana. #BuenLunes #paredesufrir"
101,"Saudi has not lost by 3 or more goal difference since Russia 2018. Mexico in that same time (not including CONCACAF) has only beaten Nigeria and Iraq by 3 or more goal difference. The tri has not beaten anyone else, until May 2021 only Iceland #Qatar2022 #SeleccionMexicana"
102,"After a video circulated on social networks showing the Argentine soccer player #Messi kicking a #SeleccionMexicana shirt, the Mexican boxer, #CaneloÁlvarez, ""threatened"" him on networks ""to ask God not to find you"", for instance. https://t.co/mldDXqMG1B"
103,#TataMartino #MexicanTeam #Qatar2
104,#Messi has respected the #SeleccionMexicana more than the players and coaches themselves. At least he took us seriously.
105,"🔴#NowNews| #AMLO sends a message of support to the #SeleccionMexicana.

Note here: ⬇️
https://t.co/joTsuy1ezz https://t.co/xUmpT8FFH2"
106,The #SeleccionMexicana and Tunisia are the only two teams that have not scored in the #Qatar2022 World Cup #fail
107,"😱OUR NOVEMBER PROMOTION IS ABOUT TO END!

Do you want to win a jersey?
👇 Read our post for more information or call us, we will gladly assist you.

#fibraoptica #SeleccionMexicana #Mexico #telecom #Tecnologia #ingenieros #Mundial2022 https://t.co/eIWzDGrXkt"
108,"After the controversial photo was released where Messi is seen allegedly stepping on the #SelecciónMexicana shirt, the boxer from Guadalajara, Saúl ""Canelo"" Álvarez sent a forceful message to the Argentine on social networks.

#ElMundialQuéImporta #ElOasisDelMundial https://t.co/o6lx4aJz9Y"
109,"""Canelo"" Álvarez threatens Lionel Messi for controversy with a Mexico shirt. #SaúlÁlvarez #Canelo #LionelMessi #SelecciónMexicana #SelecciónArgentina #JustaMundialista #Qatar
#RBA
https://t.co/uofMAGX2n9"
110,"AMLO asks the Mexican team not to give up in Qatar📹▶️https://t.co/jhINteeQ2v

#INFO7 #AMLO #SelecciónMexicana #Qatar #Mundial"
111,"#WorldData With the two goals conceded by @miseleccionmx by @AFA, the #MexicanSelection has allowed 100 goals in the history of its participation in @fifaworldcup_es and has been able to score 60 times
#FIFAWorldCup #FIFAWorldCupQatar2022 #miseleccionmx #ElTri https://t.co/LAdi7p3h3q"
112,"There are two falling titans:
1 Soccer the #selectionmexicana and its eminent World Cup elimination and...
2 politics the tiny ""muscle"" of Lopez and his 1.2 million carried and drainers of his withered burning. 🤣🤣🤣 #AMLOBurlaMundial"
113,The thing about Messi and the video is the work of #YonDeLuisa so as not to be singled out. 😂 #Mexican Selection
114,“This isn't over until it's over”: #AMLO sends a message of support to #SelecciónMexicana | #Qatar2022 #WorldCup #Morning Conference https://t.co/pNwlxLeIEn
115,"Every time there is a match of the #SeleccionMexicana I look at it like when you go to an elementary school festival, where no matter how much I love my son, I know he's going to be fine asshole and there won't be any surprises."
116,"#KORGHA What 🥚🥚 those of the Koreans, fighting until the end. Sad the #SeleccionMexicana that neither shots, nor defense, nor win. This is the fault of Tata but also of the lukewarm players."
117,"🔴#AHORA|📹 President @lopezobrador_, sent a message of support to the #SeleccionMexicana. https://t.co/FG12sV9rwA"
118,"#CommentingSports™®✓
#HarryInColombia #CyberMondayAmazon
On this occasion the #ImageOfTheWeek is a video #SeleccionMexicana Sub 10 Pan American Champions
Seeing these kids makes me 100% convinced that they are more likely to be World Champions in ⚾
📽️ @Rev_Strikeout https://t.co/Y7TVS4KekE"
119,"I can't believe that in Mexico, there are people so PENDEJA, who believe that Messi kicked the shirt of Mexico on purpose. (Including Cinnamon). #Messi #Canelo #SeleccionMexicana #MexicoVsArgentina"
120,Even South Korea is more excited than @miseleccionmx incredible #Qatar2022 #SeleccionMexicana
121,#fueraeltata #Piojoherrera #SeleccionMexicana return me to the louse Herrera @piojoherreratvc
122,#FueraTata #PiojoHerrera #SeleccionMexicana go back to el Piojo Herrera @piojoherreratvc #FueraTata @selecciones_mx #FueraTata
123,"Monday of APOCO NO?
I leave you the link 👇
https://t.co/CAf5NTousz

#Opinion #Catar2022 #SeleccionMexicana #futbol #CORRUPCION"
124,"#LaMañanera President @lopezobrador_ sends a message to the #SelecciónMexicana (@miseleccionmx) ""go ahead, you have to push yourself forward. You can't beat someone who doesn't know how to give up. Cheer up.""

https://t.co/bW0vCBCPGJ https://t.co/bq5JQyGAta"
125,How is my footballer? #Qatar2022 #SeleccionMexicana #FIFAWorldCup #MexicoVsArgentina #FIFAWorldCupQatar2022 #beso #FYP #Escarlethpalacios #ESPANAALEMANIA https://t.co/x4I82qUPv6
126,"Watching how #ghana plays, even #ghana beats us #SeleccionMexicana #Qatar2022"
127,"You have the best opinion about the controversy between Lionel #Messi and the boxer Saúl #Canelo Álvarez. the Argentine ""kicks"" a #SeleccionMexicana shirt apparently while removing his studs... 🤔📹 https://t.co/Kf1x8yyFxW"
128,"#Qatar2022 | 📌A camel was part of the coexistence of the players of the #SeleccionMexicana with his relatives, ahead of the crucial game against Saudi Arabia.

🔗https://t.co/UAwLjCc97C https://t.co/OoX0S5NO1M"
129,"@marcellolara After the defeat of the Mexican National Team, the march of YSQ, he swore that I thought I just needed Mick Marcy to come out of #MCC and yes! Pipipipi Bad day for Mexican rock and roll."
130,"😡 Goodbye Gerardo Martino, the FMF makes a vital decision for the #Mexican team 🇲🇽👋

⬇️ Check all the details ⬇️

#miseleccionmx #Mexico #GerardoMartino #TataMartino #Qatar2022 #FIFAWorldCup

https://t.co/y6tSTf6AaD"
131,"WHAT WOULD HAVE BEEN

""El Chicharito"" was the last to score a goal for the Mexican team in Russia 2018, against South Korea ⚽

That day would also mean the last victory of the tricolor on World Cup lands 😮‍💨

#qatar2022 #selectionmexicana https://t.co/cmyvzYHp7N"
132,"I invite the directors, technical staff @El_TataMartino (#TataMartino ), players and blind fans of the fateful #SeleccionMexicana to tune in to the match between Korea and Ghana so they can see how a match should be played in the Maxima Justa del Futbol Mundial #Catar2022."
133,"@bonillasz @DonVocero It is very clear 👌🏻 the tactical stoppage was not going to do it and the changes favored Argentina more than Mexico, everyone knows it #SeleccionMexicana #Qatar2022"
134,Even the BTS score a goal in the World Cup #Qatar2022 #BTSARMY #fifaworldcup #SeleccionMexicana #Kor https://t.co/gEYn1Gf83h
135,"I see the goals from other teams and their fans pissing with happiness...
Hopefully the #SeleccionMexicana gives those joys to their fans
🙏🙏🙏🙏🙏🙏🙏🙏"
136,@DonVocero The tata was not going to be the Argentine who left out his team or Messi #Qatar2022 #SeleccionMexicana
137,"#LaMañanera President @lopezobrador_ sends a message to the #SelecciónMexicana (@miseleccionmx) ""go ahead, you have to push yourself forward. You can't beat someone who doesn't know how to give up. Cheer up.""

https://t.co/bW0vCBChRb https://t.co/G0CYDCv9BB"
138,"📊Numbers of the #SeleccionMexicana 🇲🇽 in World Cups:
1️⃣6️⃣ Won
1️⃣5️⃣ Ties
2️⃣8️⃣Lost
6️⃣0️⃣ Goals in Favor
1️⃣0️⃣0️⃣ Goals Against

Best Result: 4th Final 1970 and 1986

Data finished the match vs Argentina in Qatar 2022. https://t.co/d5U71a91h8"
139,"#At the moment
The best sports comments ⚽ from the #MexicoVsArgentina match with @DeporPueblaRHE and @riva_leo
#Qatar2022
#FIFAWorldCupQatar2022
#Mexican team
📻 1010 AM 89.7 FM"
140,"#SeleccionMexicana you are not rivals of Argentina friend. stop saying that we are, rival is brazil. learn to be first in the concachafa and dsp qualifiers we talk"
141,"Álvaro Morales was very angry about the defeat of the #SeleccionMexicana against the #SeleccionArgentina 😡

The #ESPN communicator lost his temper when he criticized 'Tata' for this 😳😮

https://t.co/Cn5mLZuakf"
142,"#World2022 | 📌Ana Obregón, wife of ""Chucky"" Lozano happy to support the #SeleccionMexicana.

📷Edgar Contreras
🔗https://t.co/1kcQ7YPPgs https://t.co/gNjHdLF4kn"
143,#adidasrunning #Qatar2022 #SeleccionMexicana https://t.co/7wEle6oN5E
144,"#Sports ⚽| He spoke loud and clear! #KunAgüero lashes out at #CaneloÁlvarez for accusing #LionelMessi of stepping on the #SeleccionMexicana shirt. 😱😱 #MundialQatar2022
https://t.co/1ZKC1ri2fd"
145,"And the directive selling the team to the highest bidder, but the next tournament will be different 🤣🤣 #ligamx #SeleccionMexicana
@miseleccionmx
@FMF
It is the most shameless, outrageous, corrupt, and frustrating thing to know that this bunch of shit puts their economic interests first and makes a shithole https://t.co/y1nZsDQQOt"
146,"Don't snatch me.

#SeleccionMexicana https://t.co/0rtmnREEJr"
147,"#Mexican team
#Qatar2022
Nothing else is missing something like this… https://t.co/fIP4CC4B2m"
148,"@Canelo Compatriot @Canelo you have the resources to buy the Mexican #SeleccionMexicana, I mean @Chivas (I mean it)."
149,"Mexican National Team: Antonio 'Turco' Mohamed awaits proposal to be his coach
#SeleccionMexicana #SeleccionArgentina #MexicovsArgentina #ArgentinavsMexico
#WorldCupQatar2022 #WorldCupQatar #Qatar2022 #QatarWorldCup2022
#Mohamed #ClubAmerica #Rayados https://t.co/m6cqvKlfPQ"
150,"Sergio 'Kun' Agüero responds to Canelo Álvarez for challenging Leo Messi
#SeleccionMexicana #SeleccionArgentina #MexicovsArgentina #ArgentinavsMexico
#MundialQatar2022 #MundialQatar #Qatar2022 #QatarWorldCup2022 #QatarWorldCup22
#Messi #Aguero #Fabregas https://t.co/MAQuzqSgzP"
151,"#Mexican team
#Qatar2022
Nothing else is missing something like this… https://t.co/OUQexIZ9nD"
