,location,name,username,user_id,verified,source,lang,text,possibly_sensitive,edit_history_tweet_ids,tweet_id,created_at,type,geo.coordinates.type,geo.coordinates.coordinates
15,"Quintana Roo, México ",🐟ඏ 𝓹𝕒ｏ_ᵖΔᵒⓛ丨ţ𝐀 🌻🐶🦀🐾,Paolame30827680,1.15e+18,False,TweetDeck,es,"#Video || 🫣 What is the ""curse of the fifth game"" for the #MexicanSelection in the World Cups?
https://t.co/16IGVuOuD1",False,['1597289225740771330'],1.6e+18,2022-11-28 18:00:02+00:00,,,
16,Monterrey. Mexico,Xavi,Xavi_alexx,165827000.0,False,Twitter for Android,es,@espinosa_cla What else can you expect from the #SeleccionMexicana,False,['1597288841383399424'],1.6e+18,2022-11-28 17:58:30+00:00,replied_to,,
17,México,Deportrece,Deportrece,7.66e+17,False,Twitter for Android,es,"How sad it is to have another favorite team that is not your @miseleccionmx but they have never really served! Unfortunately 😢😪 they support him but they never give us anything in return, only disappointments #SeleccionMexicana",False,['1597286979108208642'],1.6e+18,2022-11-28 17:51:06+00:00,,,
18,mexico,Dr. No,Mariocarr_av,304826007.0,False,Twitter Web App,es,"🚨 Deporfans, do you want to win an official shirt of the Mexican National Team? 👕🇲🇽

➡️ Follow the steps explained in the image and be one of the winners 🎁👏

Link to participate 👉 https://t.co/6PS6AoRD2x

#DeportreceLaVozDeTuPasion #SeleccionMexicana https://t.co/feyf5PJAsH",False,['1597286662110789633'],1.6e+18,2022-11-28 17:49:51+00:00,,,
19,"Nuevo León, México.",RICH⚽️,Gooolzalez,158855988.0,False,Twitter for Android,es,@mejorespatadas1 dominates it and hits it better than many of the #SeleccionMexicana,False,['1597286345457553415'],1.6e+18,2022-11-28 17:48:35+00:00,replied_to,,
20,México. ,Hans Mi Herrera Ca,HCHansMijail,155772858.0,False,Twitter Web App,es,"1st Brazil goal at minute 85 Vs Switzerland.

If Brazil has serious problems, Piojo Alvarado and Antuna should not have problems to score a goal.

#Mexican team",False,['1597285610729115649'],1.6e+18,2022-11-28 17:45:40+00:00,,,
21,En el ombligo de la luna.,Dany Valencia,snakewalker421,2212132926.0,False,Twitter for iPhone,es,"@GiovaHDZc9 @Faitelson_ESPN Haha 😜 #messi needed to take vitamins, always from #Iniesta and #Xavi to form his career, today help from #TataMartino to eliminate one of the worst #SeleccionMexicana.

How well you say #Ronaldinho who gave him his first goal and showed him how to dribble he played drunk.",False,['1597284864012582913'],1.6e+18,2022-11-28 17:42:42+00:00,replied_to,,
22,México,WinpotSport,SportWinpot,1.58e+18,False,Twitter for Android,es,"Mexican soccer lives up to its investment in players and its growth and long-term support, the generation of our #SeleccionMexicana does not have the level to compete internationally.",False,['1597284570268782593'],1.6e+18,2022-11-28 17:41:32+00:00,,,
23,,Imagen Televisión,ImagenTVMex,7.8e+17,True,Twitter for Android,es,"Who is to blame for Mexico's poor performance in Qatar 2022?

#Qatar2022 #MexicanTeam #TataMartino https://t.co/SlUZXMC2Ws",False,['1597284123194060800'],1.6e+18,2022-11-28 17:39:45+00:00,,,
24,,Soy Futbol,_SoyFutbol_,1.48e+18,False,Yuzzit Pro,es,"The #MexicanSelection still hasn't scored a single goal in #Qatar, but the ones who keep scoring are the Mexican fans and the leading scorer is called Yahir, ""the horn man""...
 
@LopezOlvera with the information.

#AbreLosOjos #ImagenNoticias with @franciscozea @imagenZea https://t.co/5UgM6Icxjn",False,['1597283927861121024'],1.6e+18,2022-11-28 17:38:59+00:00,,,
25,,Cachaalvarez01,cachaalvares01,9.12e+17,False,Twitter Web App,es,"Mexican National Team: Whose Mexico shirt did Messi ""kick""?
#Messi #Messico #SeleccionMexicana #SeleccionArgentina #MexicovsArgentina #ArgentinavsMexico #leomessi10
#MundialQatar2022 #MundialQatar #Qatar2022 #QatarWorldCup2022 https://t.co/u2E9b8JSNm",False,['1597282353725906944'],1.6e+18,2022-11-28 17:32:43+00:00,,,
26,Comarca Lagunera,META de El Siglo de Torreón,meta_elsiglo,1.06e+18,False,Twitter Web App,es,"Mexican National Team: Guillermo Ochoa 'shows his face' and sends a message to the fans

#MexicanTeam #ArgentinaTeam #MexicovsArgentina #ArgentinavsMexico
#QatarWorldCup2022 #QatarWorldCup2022 #QatarWorldCup2022 #QatarWorldCup2
https://t.co/VvPKnZbmLt",False,['1597282127736733702'],1.6e+18,2022-11-28 17:31:49+00:00,,,
27,"Miami, FL",AS USA,US_diarioas,3598705636.0,True,Twitter for iPhone,es,Do you still have doubt? #SeleccionArgentina #SeleccionMexicana @fifaworldcup_es Is that really your idol? https://t.co/PwuhRsvwpc,False,['1597281988612087808'],1.6e+18,2022-11-28 17:31:16+00:00,replied_to,,
28,México,Podium Deportes,Podium_Deportes,8.6e+17,False,elsiglo.mx,es,"Fan explodes due to the absence of Acevedo and other players in Qatar

#goal #sports #SelecciónMexicana https://t.co/iiFvYDBKr1",False,['1597281675704008705'],1.6e+18,2022-11-28 17:30:02+00:00,,,
29,MIAMI,$hiba FAN BOY🌏,ShibaInuFANBOYy,1.25e+18,False,TweetDeck,es,"It takes more than a miracle for the Mexican National Team to advance to the next round of the World Cup 😳🙏🏻🇲🇽

#Qatar2022 #SeleccionMexicana https://t.co/2vaGXEEE59",False,['1597281667797827584'],1.6e+18,2022-11-28 17:30:00+00:00,,,
30,México,Bolavip México,BolavipMex,1908739764.0,True,Twitter for iPhone,es,"#Mexican Selection | #Qatar2022

Two days away from the big day!

Start of the week for @miseleccionmx and work ahead of Wednesday's game against #KSA.

#MEX needs a victory to dream of the round of 16. https://t.co/RpFAe6FcGe",False,['1597281429427146752'],1.6e+18,2022-11-28 17:29:03+00:00,,,
31,CDMX,Hablando de Futbol con Charly,FutbolConCharly,1.55e+18,False,Twitter for Android,qme,@Canelo #Canelo #SeleccionMexicana https://t.co/1MJj1AreWN,False,['1597281421298573316'],1.6e+18,2022-11-28 17:29:01+00:00,replied_to,,
32,"Ciudad Obregón, Sonora, México",Tribuna Sonora,TribunaSonora,512584141.0,False,Echobox,es,"Write it down well, Tata 🇲🇽📝 https://t.co/CebaRYTJW0",False,['1597280231961907201'],1.6e+18,2022-11-28 17:24:17+00:00,,,
33,Ciudad de México,Enrry Q,Enrry_Q,8.37e+17,False,Twitter for iPhone,es,"Great controversy, lack of respect towards #Mexico #MexicoSeleccion by number 10 of the #SeleccionArgentina #Messi. For those who think that it is a lie, I open a thread of occasions in which #messi has damaged and mocked the 3rd team https://t.co/IZdfpfuHtC",False,['1597279994040160256'],1.6e+18,2022-11-28 17:23:21+00:00,,,
34,,ramon,ramon925800121,1.53e+18,False,Twitter for iPhone,es,"VIDEO | @lupisflowers14, the journalist who chased Cuauhtémoc Blanco and #Maradona until she managed to have them for her camera

https://t.co/hAsu4IsafE

#CuauhtemocBlanco #SeleccionMexicana #Qatar2022 https://t.co/ek0Kg00cK8",False,['1597279492132999169'],1.6e+18,2022-11-28 17:21:21+00:00,,,
35,"Cuernavaca, Morelos",El Dato Noticias Morelos,eldatomx,7.53e+17,False,Twitter Web App,es,"Everything indicates that Andrés Guardado finished his participation in #Qatar2022 and also his career with the #SeleccionMexicana 🗣️‼️

Different media reported that the 36-year-old player suffered a strain in his right leg, for which he will be out for at least 20 days.

#Qatar https://t.co/4xIGoA08rV",False,['1597279376575385600'],1.6e+18,2022-11-28 17:20:54+00:00,,,
36,MEXICO,Alex Hernández,ElJimmyBalboa,89839597.0,False,Twitter for Android,es,"What does Mexico need to compete in the World Cups?
That @Televisa stop managing Mexican soccer at will
#SeleccionMexicana https://t.co/DQJWxsLc8s",False,['1597279338445307904'],1.6e+18,2022-11-28 17:20:44+00:00,,,
37,"Puebla, México",Puebla 321 - Noticias,puebla_321,1.02e+18,False,Twitter Web App,es,"@adrenalina @SFuentes08 The only solution to all this disaster of the Mexican team is the Mexican fans themselves, if you want to have the hope of seeing Mexico go to the fifth game MY DEAR MEXICAN FANS, YOU COMMAND RAISE YOUR VOICE AND TAKE YON OUT OF LUISA HE IS THE GUILTY OF EVERYTHING",False,['1597278979630977024'],1.6e+18,2022-11-28 17:19:19+00:00,replied_to,,
38,Absurdistan,Efren Sandoval,nomedivierto08,2916437230.0,False,Twitter for Android,es,ANDRÉS GUARDADO WILL NOT PLAY AGAINST SAUDI ARABIA THIS WEDNESDAY // #Qatar2022 #futbol⚽️ #internacional #QATAR #guardado #seleccionmexicana #noticias #eldato https://t.co/NeQaNXYsZd,False,['1597278544261918720'],1.6e+18,2022-11-28 17:17:35+00:00,,,
39,"Morelia, Michoacán de Ocampo",Michoacán en Concreto,EnConcretoMich,1.1e+18,False,Echobox,es,Who can be Mexico's rival if they advance to the Round of 16 of the Qatar 2022 World Cup? 🇲🇽👀 https://t.co/0qHHngEnIC,False,['1597277364760858630'],1.6e+18,2022-11-28 17:12:54+00:00,,,
40,,Osalrara_Gaming,OsalraraG,1.31e+18,False,Twitter for Android,es,"Leaving aside the blowjobs of #caneloalvarez
Weyes, now we are all Poles 🤣🤣🤣🤣 Come on Poland, break Argentina's ass so we can qualify 😞 (if we beat Arabia 🤣
#SeleccionArgentina #SeleccionMexicana #Polonia #Mundial2022 #Qatar2022 https://t.co/IrtgOPuOOm",False,['1597277158723842048'],1.6e+18,2022-11-28 17:12:05+00:00,,,
41,,Miriam Adaneli,MiriamAdaneli,1.15e+18,False,Twitter Web App,es,"With forbidden photos, Suzy Cortez comforts the Mexican National Team
@SuzyCortez_ #SuzyCortez
#SeleccionMexicana #SeleccionArgentina #MexicovsArgentina #ArgentinavsMexico
#MundialQatar2022 #MundialQatar #Qatar2022 #QatarWorldCup2022 #QatarWorldCup22
 https://t.co/GoyeqApaR7",False,['1597276548540772352'],1.6e+18,2022-11-28 17:09:39+00:00,,,
42,México,Financiera Cualli,FCualli,182051201.0,False,Twitter for iPhone,es,The #SeleccionMexicana makes it clear that the crisis that exists in our country consumes everything... even soccer.,False,['1597276544422248448'],1.6e+18,2022-11-28 17:09:38+00:00,,,
43,,Ivette Enríquez,IvetteEnrquez2,1.21e+18,False,Twitter for iPhone,es,"#Viral 😱🤔 The star player of #Argentina, Lionel #Messi was caught allegedly kicking the shirt of the #Mexican Selection
https://t.co/YJho3oEu1b",False,['1597276510448410624'],1.6e+18,2022-11-28 17:09:30+00:00,,,
44,"Puebla, Pue.",👁 El Observador del Centro,CntroObservador,1.03e+18,False,Twitter for Android,es,"Now @Canelo don't suck 😞 stop humiliating us, apologize and close Twitter
#mexicoargentina #SeleccionArgentina #SeleccionMexicana",False,['1597275955143507970'],1.6e+18,2022-11-28 17:07:18+00:00,,,
45,"Romero de Terreros, Coyoacán",MR Coyoacán,MRCoyoacan,7.74e+17,False,Twitter Web App,es,"I just found out that the coach of the #SeleccionMexicana ""sold"" himself in the game, taking out important reinforcements because he is Argentine and tarara tarara... Can't we just accept that the team has no talent and that's it? Why are they still justified?",False,['1597275088919072768'],1.6e+18,2022-11-28 17:03:51+00:00,,,
46,"Red Keep, King’s Landing",Alexis Reyna,areynapalma,164540764.0,False,MenCTuit,es,"""You can't beat someone who doesn't know how to give up"": AMLO https://t.co/5keOqN1Jad
#Qatar
#Mexican team
#Soccer
#Soccer World Cup
#2022",False,['1597274919754035200'],1.6e+18,2022-11-28 17:03:11+00:00,,,
47,,Desde las Gradas,dlg_jrf,1.58e+18,False,Twitter Web App,es,"Well, I barely saw that #Messi ""neighborhood"" the ground with the #SeleccionMexicana shirt and the truth is that whoever has taken the footage of that is a person who only wants to see the world burn, it is true that the shirt is in the ground (like many others), but from there to the other...",False,['1597274472721317889'],1.6e+18,2022-11-28 17:01:24+00:00,,,
48,"Av. 11 No. 1206 Córdoba, Ver.",Universidad Mesoamericana Córdoba,CordobaUma,1.3e+18,False,Twitter Web App,es,"Mexico vs Argentina

The Mexican selection:

#FIFAWorldCup
#Qatar2022 https://t.co/Z0gtvjmBzf",False,['1597274276553691137'],1.6e+18,2022-11-28 17:00:38+00:00,,,
49,"Victoria, Tamaulipas",Luis Angel,LuisAng0211,1.45e+18,False,Hootsuite Inc.,es,"Personalized attention and solution in less than 72 hours.

#We Are MoreThanAProduct

#mundial #Qatar #MundialMéxico #Mundial2022 #SelecciónMexicana #partidosdeselección #México70 #mundialqatar2022 #mundiales #mundialqatar22 #crédito #líneadecrédito https://t.co/Icgmaaz4fb",False,['1597274266180808704'],1.6e+18,2022-11-28 17:00:35+00:00,,,
50,"México, CDMX, NuevoLeón, GDL","ADN Sistemas - computadoras, software, accesorios",SistemasAdn,1.36e+18,False,TweetDeck,es,"ALL AGAINST 'CANELO'? 🤔

Cesc Fábregas also responded to the boxer from Guadalajara after threatening Messi for allegedly kicking the #SeleccionMexicana jersey in #Qatar2022 😳🇲🇽

https://t.co/wULj8diujw",False,['1597274167904440321'],1.6e+18,2022-11-28 17:00:12+00:00,,,
51,,diariopronto,diariopronto,1.37e+18,False,Twitter for Android,es,Shocking predictions gave us our beautiful @mhonividente in #ThisMorning by @heraldo_tv #Canelo #SeleccionMexicana #Chicharito #Sismo #AnimalesenCirculo #AndresGarcia #PoloniavsArgentina excellent way to start the week #MhonienThisTomorrow https://t.co/stvIiPp28M,False,['1597274132672294913'],1.6e+18,2022-11-28 17:00:03+00:00,,,
52,,Ivette Enríquez,IvetteEnrquez2,1.21e+18,False,Twitter Web App,es,"🥊 #ShowBiz | ""Let him ask God that I don't find him!"" declared #CaneloÁlvarez, after assuring that #Messi stepped on a #SeleccionMexicana shirt.🙀
https://t.co/yjukiiy9Zz https://t.co/WrkqzLvqTQ",False,['1597274128519761923'],1.6e+18,2022-11-28 17:00:02+00:00,,,
53,"Portales Norte, Benito Juárez",Mexicano Irreverente,Elmexicanissimo,1.33e+18,False,TweetDeck,es,"Remember that we are broadcasting the World Cup matches so you can come join us. We are waiting for you!⚽🏆

#mrcoyoacán #mundialqatar #qatar2022 #fifa #copadelmundo #soccer #fútbolsoccer #méxico #selecciónmexicana #chuckylozano #foodmarket #mercadogastronómico #coloniaroma https://t.co/ILLRZ3ozfM",False,['1597274121859055617'],1.6e+18,2022-11-28 17:00:01+00:00,,,
54,"Zapopan, Jalisco",Paco ML ⚕ 🚴🏼‍♂️🚵🏼‍♂️,pacomlmd,108446617.0,False,Twitter Web App,es,"SAME VIBES

#Mexican team
#FIFAWorldCup
#Qatar2022 https://t.co/XIryEO9sdg",False,['1597273806443188225'],1.6e+18,2022-11-28 16:58:46+00:00,,,
55,México,Espacio Deportivo مساحة رياضية,e_deportivo,41698048.0,True,Twitter for Android,es,"Since November 12, 2021, we knew that we would have the WORST world in history and now it turns out that it is the fault of the businessmen? Consistency please!!
#mexicoargentina #Mundial2022 #Salinas #mexicana #SeleccionMexicana
@RicardoBSalinas",False,['1597273337193168896'],1.6e+18,2022-11-28 16:56:54+00:00,,,
56,"Red Keep, King’s Landing",Alexis Reyna,areynapalma,164540764.0,False,Twitter Web App,es,"🎙️ The message that Guillermo Ochoa sent to the Mexican fans 🇲🇽🙏

Deporfans, will you continue to believe until the end? 🤨💬

#miseleccionmx #Mexico #seleccionmexicana #FIFAWorldCup2022 #Qatar #FIFAWorldCup #Qatar2022 https://t.co/UYVUxhgrWx",False,['1597272576711004163'],1.6e+18,2022-11-28 16:53:52+00:00,,,
57,,Soy Futbol,_SoyFutbol_,1.48e+18,False,Twitter for iPhone,es,"What Messi did is disrespectful to all of Mexico, to those little ones who ask their parents for a shirt, to those parents who buy them a $100 shirt to those who spend up to $2,000 to feel pride, support, and passion for his country. #Mexican team",False,['1597272535653285888'],1.6e+18,2022-11-28 16:53:43+00:00,,,
58,🇵🇦ℙ𝕒𝕟𝕒𝕞á ,Gabriel Castle Jr🍥,GabrielCastleJr,1.1e+18,False,Twitter for iPhone,es,"#Mexico falls to #Argentina and depends on different results to pass 🤨🗑.

#mexicoargentina #Tata #SeleccionMexicana #SeleccionArgentina
#Qatar2022

https://t.co/UW8Usi4AX3",False,['1597272458775924736'],1.6e+18,2022-11-28 16:53:24+00:00,,,
59,Tenochtitlan,Tlatoani_Cuauhtemoc,Cuauhtemoc_1521,772961053.0,False,Twitter Web App,es,We appreciate the participation of our students in the UMA Quiniela and congratulate our winners. #Mundial2022 #Qatar2022 #MexicoVsArgentina #SeleccionMexicana #UniversidadMesoamericana #Cordoba #Alumnos https://t.co/dxwbhaDdZD,False,['1597272388856868865'],1.6e+18,2022-11-28 16:53:08+00:00,,,
60,"Saltillo, Coahuila, México",El Diario de Coahuila,DiarioCoahuila,48206728.0,False,Twitter for Android,es,"Worry about the insecurity of your country ❎
Worrying about the level that your team gives in the World Cup❎
Worrying that Messi ""kicked"" a shirt x✅
#Canelo #SeleccionMexicana #Messi #Qatar2022 #blowjob",False,['1597272339460558848'],1.6e+18,2022-11-28 16:52:56+00:00,,,
61,,John Jesús De La Torre 🦊,johnjesus25,2339301643.0,False,Twitter Web App,es,@DimeChacon_ Those who are not ashamed are the national team #messi is doing his job #mexicanaselection,False,['1597272132891049984'],1.6e+18,2022-11-28 16:52:07+00:00,replied_to,,
62,México,Deportrece,Deportrece,7.66e+17,False,TweetDeck,es,"The situation between the #MexicanSelection and Argentina after their match at the #MundialDeQatar2022 has crossed the field even with celebrities like #CaneloÁlvarez, this was what he sent him to say 👀😳🤯 ⚽️🥊

https://t.co/l4xafJbfNR",False,['1597272044936347650'],1.6e+18,2022-11-28 16:51:46+00:00,,,
63,"Querétaro, Qro. 🇲🇽",LAHB,_LuisBautista,198971524.0,False,Twitter for Android,es,As always gorgeous my friend @mhonividente in #ThisMorning by @heraldo_tv great predictions #Canelo #SeleccionMexicana #SeleccionArgentina #Animalescaminandoencirculos #Apocalipsis #SismoDiciembre #Chicharito https://t.co/Fhad5mdV6T,False,['1597271930998259713'],1.6e+18,2022-11-28 16:51:18+00:00,,,
64,México,Omar Chan,OCeliseo,2200253125.0,False,Twitter for Android,es,"The only thing that #caneloalvarez generates with his tweets about #Messi ""kicking"" the Mexico shirt, is to make us see how bad losers.
@Canelo stop humiliating us more!!!
#SeleccionMexicana #SeleccionArgentina #World",False,['1597271542093983744'],1.6e+18,2022-11-28 16:49:46+00:00,,,
65,Comarca Lagunera,META de El Siglo de Torreón,meta_elsiglo,1.06e+18,False,Twitter for Android,es,"Relax guys.
To begin with, who was the groupie of the #SeleccionMexicana that ripped off the #Messi jersey?",False,['1597271414192865281'],1.6e+18,2022-11-28 16:49:15+00:00,,,
66,"Torreón, Coahuila de Zaragoza",PapaDLosPollitos,bobdaddy9,310038350.0,False,Twitter Web App,es,"The statistics play in favor of the Tri against rivals from Asia. #SelecciónMexicana #SelecciónArabiaSaudita #JustaMundialista #Qatar
#RBA
https://t.co/GJAH0B2aKX",False,['1597270993222836224'],1.6e+18,2022-11-28 16:47:35+00:00,,,
67,"Pachuca de Soto, Hidalgo",Futbol Media Oficial,futbolmediaofi,1.1e+18,False,Twitter for iPhone,es,"Yes, the #SeleccionMexicana are assholes and the DT they have is an idiot but that is one thing and another for a big-nosed dwarf to make fun of our country, whether or not it is a national symbol but it is the shirt that many wear with pride and passion and makes it sacred",False,['1597270833113993218'],1.6e+18,2022-11-28 16:46:57+00:00,,,
68,,onionkalahala,mamaselasalamoo,1.56e+18,False,Twitter for Android,es,That's right daddy!!! And an authorized voice said it. #Mundial2022 #SeleccionMexicana #mexicoargentina https://t.co/V8ObM4tG7v,False,['1597270358880837632'],1.6e+18,2022-11-28 16:45:04+00:00,,,
69,,Joseph Valencia,JosephTormenta,1.59e+18,False,Twitter Web App,es,"The former Mexican soccer player wants changes within the structures of the Liga MX after losing to Argentina in Qatar 2022
#QatarWorldCup2022 #Mexico #LigaMX #Hermosillo #FIFAWorldCupQatar2022
https://t.co/0iFAUL67JC",False,['1597269865240625154'],1.6e+18,2022-11-28 16:43:06+00:00,,,
70,With Her🖤,••mr•• #RenewTheWilds,amonlyus,7.57e+17,False,Twitter for Android,es,"@ArinaDiadette @ErnestoAmador You know what's happening that you don't know how to hide the defeat and how bad the #Mexico team is that they need to create such unnecessary controversy to cover up the shame they cause, I'm talking about the #MexicanSelection",False,['1597269681379119104'],1.6e+18,2022-11-28 16:42:22+00:00,replied_to,,
71,"Xochimilco, Distrito Federal",Iris Oropeza,IrisOropez,1.45e+18,False,Twitter Web App,es,"Guillermo Ochoa and his hopeful message for the Mexican fans

#Qatar2022 #FIFAWorldCup #SeleccionMexicana

https://t.co/Pq41gQFLHE https://t.co/0KPw2u4oYj",False,['1597268875217104896'],1.6e+18,2022-11-28 16:39:10+00:00,,,
72,,🇲🇽 Mᴀʀᴄᴏ Fᴀʙʀɪᴢɪᴏ Bᴜᴄᴄɪᴏ🛡️,MarcoBuccio,114968301.0,False,Twitter for Android,es,"Knowing the results what Mexico needs to move to the next phase 😐 🤔

 My mind then later... 💭

#Mexico #QatarWorldCup2022 #MexicoVsArgentina #MexicoVsArabia #WorldCup #SeleccionMexicana #Tricolor https://t.co/FArrb4kEBq",False,['1597268840311767042'],1.6e+18,2022-11-28 16:39:02+00:00,,,
73,Aquí ,YoSoyAquel,ErickPahr,2953055066.0,False,Twitter Web App,es,"🗣️ Memo Ochoa's words to the fans to keep believing 🇲🇽🧤

Deporfans, do you think the Mexican team can advance to the next round? 🤔💬

#Mundial #miseleccionmx #seleccionmexicana #FIFAWorldCup #Qatar2022

https://t.co/xhOzlrhOml",False,['1597268250102206466'],1.6e+18,2022-11-28 16:36:41+00:00,,,
74,Monterrey - Poza Rica,Yeyo Hernández,yeyoMorales,125429049.0,False,Twitter for Android,es,"Just the same, fucking ridiculous... repeat after me, the #SeleccionMexicana shirt IS NOT A NATIONAL SYMBOL, get over it. #Qatar2022 #MEX 🙄😒 https://t.co/I6WgOOpSeg",False,['1597267845070479360'],1.6e+18,2022-11-28 16:35:04+00:00,quoted,,
75,,Chester G.,negro8819,2788386088.0,False,Twitter Web App,es,"Serious faces in the practice of the Tri at hours of crucial game in their aspirations. #Mexican National Team #World Fair #Training #Qatar
#RBA
https://t.co/1Gwx53tFx7",False,['1597267727450005504'],1.6e+18,2022-11-28 16:34:36+00:00,,,
