,text
28,"My FAV World Cup goals:

🔸Enner (all three) Ecuador 🇪🇨
🔸Gavi Spain 🇪🇸
🔸Messi and Ferndz, Argentina 🇦🇷
🔸Richarlison and Casemiro, Brazil 🇧🇷"
29,This photo alone is bigger than Argentina https://t.co/YDEZEZNSbW
30,"@eujanis_ a, I swore I was from Argentina, are you going to say that you prefer Messi than CR7?"
31,"See @Canelo they are waiting for you in Argentina
🤭🤭🤭 If🖕🖕🖕🖕
Take a look at the video of El gringo y la Andru! #TikTok https://t.co/gs1tEMTmHz"
32,@DaiTeDice Pa when video barding Mexico for its unfortunate participation in its match against Argentina?
33,@bliblidotcom Argentina #BliMinBeliin #BlibliTerbaikDeh
34,@barreramemo18 @ErnestoChavana @Canelo @memobarba And what does a Mexico shirt do in the Argentina locker room???
35,"@Canelo Because either you close the queue, gil, if it bothers you so much, come to Argentina and we'll fix it. All this you do because you lost"
36,"@Canelo This one that I read cannot be true, I watch the video and it is obvious that the gesture is not intentional, a populist message that seeks easy applause and confronts two brother nations. I want #Mexico in the round of 16 with #Argentina."
37,"@Canelo IF YOU RESPECT ARGENTINA IT IS NOT NOTICED, YOU DID NOT REPUDIATE THE SONG OF MEXICAN PRAISE ABOUT THE MALVINAS, IT IS WORSE THAT THEY LACKED RESPECT TO THE FALLEN IN THAT WAR THAN THE SHIRT ON THE FLOOR"
38,@Canelo how good it is that there is a great and powerful God who does justice... Now we will have to see the brutal fall of Argentina... because the one who is proud and praises God humiliates him 🙏
39,Who is this narco and why is he barding Argentina? https://t.co/DiksBfd4r0
40,"OVATION | Argentina completed another practice ahead of the match against Poland, with Lionel Messi even and with a climate of joy. Lionel Scaloni has not yet stopped a formation https://t.co/uNtpx5556B"
41,@futebol_info bigger than Argentina
42,@cardela @jaleyesru Go and study how Argentina prospered before the pedophile Peron and his henchmen arrived.
43,@gbeder @bbva_argentina German Bbvader
44,"🚨Saudi who beat Argentina and Japan who beat Germany in their first games of the World Cup lose their second games! 

Hope they bounce back in the next game! ⚽️ https://t.co/DgkValERcn"
45,"When they want to sell you that we have first-rate broadcasts, remember this tweet. How sad...

The previous The previous
in Argentina in Uruguay https://t.co/5uApupkpFg"
46,"🎙️ History of the game and timba in Argentina.

@sergiodwy's column in #GenteDeAPie

Until 5:00 p.m. on @NacionalAM870 and @FolkloricaFM987 | Our WhatsApp 📲 1165840870 https://t.co/e4GMVFdfnS"
47,@RudyHavenstein @NicBibSed come up with a parody for the FTX scandal just like you did with the IMF and Argentina defaults-remember the goodfellas one?
48,@Fernand20728701 @httsumu @volley_gaski @RuloSando @masterganjaok @Canelo I'd rather be knocked out in the round of 16 than reach a final knocked out by Germany. A ridiculous unnecessary effort for Mensi and all of Argentina 😅🤣🤣 idiots
49,"@JMilei This lasts 3 months and goes to https://t.co/WfrXG63Jtc politics in Argentina instead of being the art of consensus is the art of confrontation and he thinks he is a Buddhist monk. You ask him where Guernica is and it tells you in Spain. Of course, spying knows. The posh head is missing street"
50,"Uzbekistan, a new market for Argentine bovine genetics https://t.co/EMaZ7wOypq @senasa"
51,"@UTDTrey Shaw, Maguire, Rashford carrying England, Case, Fred, Antony huge impact in Brazil, Bruno carrying Portugal(Dalot will be if has chance), Martinez huge impact in Argentina, Eriksen impacting Denmark.while some has mount, sterling, de bryune, gundogan, cancelo, havertz bottling 😭"
52,Meet Kozhikode's Messi who adores both Leo and Cristiano https://t.co/hicV1kycm3
53,"Jorge Asís: ""In Argentina, agreeing is weakness"", in ""Mesa chica"" by José del Rio - 11/27/22 (complete) https://t.co/aY4Z1C23K4 via @Aenfoco #CorrupcionOJusticia Poverty #Dollar #GoodMonday Messi Argentina Enzo Bangladesh Baradel Malvinas La Plata"
54,"@TitoPuchi @JuanGuAraujo @crissuperann @Klimkazzz @aschapire They talk about ""hunger"" in Argentina and it is the country with the highest meat consumption (quality protein) in the world, 109 kg. per year, of which 50 kg. beef. Rare for a ""hungry"" country. Anyway..."
55,"@bebarros28 @JMA_2404 @sidokando @nocontextfooty You against Argentina in Copa America final, have some shame"
56,"ARGENTINA - Road of the Jesuit Estancias of Córdoba, an adventurous drive #argentina
https://t.co/a4MznZbJ1n"
57,Argentine justice is shit
58,Winning of Brazil vs Switzerland #shorts #brazil #argentina #switzerland... https://t.co/sp7rgSmMAF via @YouTube
59,"@VarskySports 1-0 to Switzerland that has nothing, if it had been Argentina they would still be bitching at the players. How they like to suck Brazil"
60,"@rrubbar Hello! At the break of the next game in Argentina, we will give the winner."
61,"@junagmdavid @ed_RMAN @juandl84 Colombian sucking Argentina kskskskks, son of a bitch so sad and sadder when Poland opens them up and breaks their asses"
62,@RodrigoLeito8 @andrizek What a strange analogy since Messi has already played 4 cups going to 5 with Argentina and never won with him! I can see you understand a lot about football!!!
63,"Remember this poor idiots @Argentina
@leomessi https://t.co/gFIBduLhSw"
64,"Santiago Mitre (‘Argentina, 1985’ director): ‘Some people forget how important it is to take care of democracy’ https://t.co/GlF8PWravB"
65,#ValueAddedTax: An Argentine delegation travels to Washington to negotiate the disbursement of the IMF. https://t.co/4ni7SRHJ5l
66,"@CamilaSacarelo7 Hello! We contact you from Telecentro Argentina for your claim. In this case, we ask you to provide us with your information privately, so that an advisor can communicate with you. Thank you for choosing our services, Greetings 👋🏼"
67,"Argentina - Poland.
Because they appointed Espinoza. https://t.co/kezey6eKe0"
68,"@kwruwa Sjsjsjsj nmms, xenophobia, they sent a tremendous fanfic with the bard between Argentina and Mexico sjsjsjs"
69,"@Ceftriaxonainye @sjahir26 At least we had a glorious past, you didn't. At most they have to boast their Aztec civilizations and the time of New Spain, where in both moments of history Mexico did not yet exist. Argentina in its golden age was already independent. You think you are powerful"
70,I'm only in favor if it's used against Argentina https://t.co/3J6zvGeXLx
71,"@AmandeAmara @pottxrherondalx @chaoticchizito In Argentina, there is inappropriate diversity. I better go out on the street"
72,“PPT” by Jorge Lanata (complete) – 11/27/22 https://t.co/U6LQ9ZgErj #CorrupcionOJusticia Pobreza #Dólar #BuenLunes Messi Argentina Enzo Bangladesh Baradel Malvinas La Plata
73,"@minervanaranja @LaRomiScalora All that morning he sang the arg hymn. While everyone was sleeping, he was dressed in our Argentine shirt and handkerchiefs, what do they say, you can tell they don't even look"
74,"@Canelo No, we saw Messi confirm Argentina's paternity over Mexico."
75,When you celebrate your mother-in-law's birthday at your house and Argentina plays (I'm the only Argentine) She was happy with her glass of burgundy and everyone else made me feel at home with the passion they have for my team. 🤭🤣 https://t.co/4zoXBIyvTG
76,This photo is bigger than Argentina. https://t.co/QoXZaAdyAy
77,@FinoYossen @Argentina https://t.co/2l5Ota40Ix
78,"@CortesanaV @mrosserano @LeanSonic1991 @MrOctopusG @kevinmo67259651 @Juaaan__23 @Canelo They only know Messi
If you ask them why else they know about Argentina
They will tell you that Hitler went to hide there
.

LOL"
79,"Argentine Nostalgias: Piano Music of Argentina CQASRDO

https://t.co/E8NoOpWxOv https://t.co/SkxdwscY9l"
80,"@LadaeaC2 @7_eycon @eugenioleal France, Spain, Argentina, ..."
81,"https://t.co/zf90Ku99nr  Buenos Aires, Argentina. The solidarity work for animals of retired 75-year-old Norma in the town of Tortuguitas is not recognized. She will be evicted. Demanding the new mayor to assign a new location!"
82,"@Juan_Casas00 @gonchobanzas @Canelo Are you moron or do you pretend to be moron or are your parents cousins? If you don't know what the slang is like in Argentina, don't speak, saying black in a friendly way as if it were a nickname in Argentina is very common. Another thing is to say black used a tone of insult...! don't be dumb"
83,"$960,000 for the ticket to see Argentina vs. Poland.
You know how cute the game looks with Celi and Yuli at home! Happy! Forget 🇦🇷"
84,POV: you are the prop of @Argentina according to cinnamon https://t.co/joZlAhXxhe
85,"@futboltrotters An America's Cup without Brazil or Argentina, it's worth clarifying."
86,feel like it @Argentina https://t.co/FlapcvJP1i
87,"italo sena in argentina by casimiro miguel
fuck that crazy son of a bitch kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk"
88,@TheVampsband COME BACK TO ARGENTINA🖤🇦🇷
89,"""It gives so much peace to have a blank mind and not think so much about all the mess you have""
 #resistenciachaco #Argentina https://t.co/AhOdn66e2o"
90,@PanoTheShow Argentina are nowhere near France and Brazil. Spain are also very good.
91,"Many handsome players, kissed everyone except the ones from Argentina, fuck Argentina"
92,"@diegonoticia Many of your colleagues are firm with Argentina.

I don't know if I'm crazy, but teams like France, Spain, Germany, England, Croatia. They are playing something else. With its ups and downs.

Favorite Brazil. Argentina very similar to 2018."
93,"Elisa Carrió in ""Mesa Chica"" by José del Rio - 11/27/22 https://t.co/TjHSJFPgUP via @Aenfoco #CorrupcionOJusticia Poverty #Dollar #GoodMonday Messi Argentina Enzo Bangladesh Baradel Malvinas La Plata"
94,"*the weeknd sets foot in argentina*

automatically me: https://t.co/4l7dnRvRDw"
95,"👋🏼 Hello, good morning. I share my latest Melodic Techno Set on YouTube 🎧🔥.

Thank you for your Support and Love 🙏🏼🙌🏼.

#France #berlinlover #USA
#MexicoVsArgentina #Colombia
#Brazil #argentina @AudioTechnicaLA @AudioTechnicaAR @AudioTechnicaUK

https://t.co/VfijS9NK9h https://t.co/46TyP6GVTe"
96,"In my opinion, in fact, not because we are Mexicans do we all have to go to the Mexican team, the World Cup is for soccer, for those who like this sport some will; for example, to Brazil, Spain, Germany, Argentina, etc., and that doesn't mean we stop being Mexican."
97,@hablomutcho @njdmarlon @choquei supports argentina and lives in fucking rio grande do sul
98,"A shirt is not a flag, nor a country; A player from Argentina is NOT Mexico's worst enemy, nor someone who deserves hate for a misinterpreted video.

Let's pick our battles better, shall we? @canelo"
99,"@rogelio7funes Good night Rogelio, good first half, I think Argentina will account for Poland, if they put you in you have to go with everything, forward, put it in anyway, header, first-rate shot, pointing, cheer up. A hug"
100,"@Ramiro1291 @Canelo Hold on Argentina ..threats to
 bivol!!!!!!gordo colorado taco eater!!!!!"
101,YaTeCuento | Argentina: Oil companies agreed to a monthly increase of up to 4% https://t.co/OWC7WMwM9j
102,#Maradona says that he puts the sausage hahahahhahahha #d10s #messi #argentina HOLD ON ARGENTINA 🇦🇷 LPTM !!!!!! https://t.co/khWdfrabVz
103,"@Jwillocv Hahaha friend, don't be fooled Argentina has never been a candidate only for the press who wants to see Messi win yes or yes, but they don't see the context, this team has no complement that is good position by position.
The undefeated was made up in friendlies with cool teams and the show"
104,"In Argentina, Archbishop of Salta Appoints Two Exorcists to his Diocese 
The move has caused controversy, namely among liberal Catholics, who claim that the ministry of exorcism is outdated.
N...
https://t.co/NYhPhZo5B3
#LatinAmerica 
#archbishop #argen... https://t.co/uHpYGiwGMC"
105,"@trinidadMNovo We are already taking a long time to implement it in Spain. In the strange competition that we have with Argentina to see who is more progressive, we cannot lose it...either that or surrogate abortion up to 23 years of the fetus already delivered would equalize the match"
106,@asesor1977 @MauroHumano @Canelo And the numbers speak for themselves. Argentina has 2 World Cups and 15 American Cups. Chile has 0 World Cups and only 2 American Cups... Look who the mediocre ones really are
107,"@pau_ramosS And those who came out as fans of Argentina out of nowhere hahahaha, they kick me out"
108,@pequenino_trevo @choquei argentina will never be eliminated kisses
109,Che how difficult it is to be an anorexic in Argentina with the heat that it is I'm going to faint
110,"@GoticSoledad Yes, I fell in love with Argentina!! My family is happy!!"
111,"@ComentCrakNeto And Neto was going to cheer for Argentina in kkkkkkkk, this vein is crazy"
112,"@BeastBoxing1 Este pendejo, only ‘little girls’ cry… hijo d puta …next watch this video w the Mex jersey always on the floor .. & yes, Messi puts on his shoe w Mex shirt hanging then back to floor…THAT’s the prob for Canelo, the lack of RESPECT…stay in UR lane!!
https://t.co/7hMOH1zj22 https://t.co/5uol0JqIyr"
113,"""Argentina was one of the richest countries in the world 100 years ago... Venezuela was too..."" and now they are languishing just as the entire European Union is about to languish (if nothing changes)...

https://t.co/owHyxUuSuE"
114,@vq_s2 We will qualify ourselves against Argentina
115,"@VochoVt It is very ugly how classism directs the thoughts and lives of others.
I don't know about Argentina, but in Mexico we have a severe problem of classism that goes hand in hand with racism and the aspiration to become the -economic - oppressor like the USA :c"
116,@fabriziosumanto @Edzou7 @CBF_Futebol @Casemiro Finally a guy with the Argentine flag who doesn't talk shit 🙏🙏
117,"@re_natamotta @denis_pelegrini @Terra__Brasilis When you talk about joining the AL armies to attack us, who would you be? Venezuela, okay. Chile, maybe, Argentina and Colombia would never do that, even with leftist presidents. Paraguay and Uruguay, never. Bolivia is a laughing matter."
118,@ssanti_p Will it be said to be mogolic in Argentina? Or will it be a mistake or simple ignorance?
119,@Marianabaldomar Buenos Aires Argentina
120,@walk_er9 @VAMP_AYUSH @ESPNFC you must not know about the argentina ultras that said they would literally kill any player if they injured messi before the wc lmfaoooo canelo won’t do shit
121,"second time hitting the base pop comments talking bad about argentina, love my life 🫶🏻"
122,"“The cornice”, by Luis Majul (complete) – 11/27/22 https://t.co/df0qT0wkXN #CorrupcionOJusticia Poverty #Dollar #GoodMonday Messi Argentina Enzo Bangladesh Baradel Malvinas La Plata"
123,"@evrgdl @Chan217 @RicardoBSalinas I saw tweets from a lot of Mexicans before the game, that Mexico was not risking anything because they didn't have a competitive team, that it was another game for Mexico... And that Argentina was losing more and that they were even going let's see suicide"
124,"@FlavioAzzaro It seems to you that he never wore the Argentina shirt, you piece of asshole!!! You're talking about a world champion. You pretend knowledge and you are a re against chicken ice cream!!"
125,"@ElCardenal13 @maravillabox @Canelo I know more about boxing than you will know in your life, I was born in the land that has more world champions. Canelo alone has more world championships than the entire history of Argentina in sports."
126,@oskr66333 I'm from Argentina
127,"Let's go with a World Cup poll, will Argentina or Poland win on Wednesday?"
128,"@Canelo Argentina hasn't won since '86, and I won it with my hand, why do we still think it's a great team and pay so much attention to it? If football is taken away from the Argentines, they are left with nothing,"
129,wl Notice Minting @luiscepeda33 @snooiswinner @Ox_argentina @infinitelyhs_ @donatmesesnyam @manhattanboi23 @yoonjiiii__ @arvthidalgo @brothercytix @september_bwin @meurcsuar @maybigwinsoon @yournjmm @Louie_HanNez45 @2OOOUSD https://t.co/fxkkgkCuD0
130,"@ColunadoFla If I were an Argentine, I'd be playing in the Argentine national team, I think he became a pagodeiro, I'm going to the national team just to play tambourine with Daniel Alves."
131,@vickzff argentina is the head of my dick
132,"italo sena in argentina by casimiro miguel
fuck that crazy son of a bitch kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk"
133,@TheVampsband COME BACK TO ARGENTINA🖤🇦🇷
134,"""It gives so much peace to have a blank mind and not think so much about all the mess you have""
 #resistenciachaco #Argentina https://t.co/AhOdn66e2o"
135,@PanoTheShow Argentina are nowhere near France and Brazil. Spain are also very good.
136,"Many handsome players, kissed everyone except the ones from Argentina, fuck Argentina"
137,"@diegonoticia Many of your colleagues are firm with Argentina.

I don't know if I'm crazy, but teams like France, Spain, Germany, England, Croatia. They are playing something else. With its ups and downs.

Favorite Brazil. Argentina very similar to 2018."
138,"Elisa Carrió in ""Mesa Chica"" by José del Rio - 11/27/22 https://t.co/TjHSJFPgUP via @Aenfoco #CorrupcionOJusticia Poverty #Dollar #GoodMonday Messi Argentina Enzo Bangladesh Baradel Malvinas La Plata"
139,"*the weeknd sets foot in argentina*

automatically me: https://t.co/4l7dnRvRDw"
140,"👋🏼 Hello, good morning. I share my latest Melodic Techno Set on YouTube 🎧🔥.

Thank you for your Support and Love 🙏🏼🙌🏼.

#France #berlinlover #USA
#MexicoVsArgentina #Colombia
#Brazil #argentina @AudioTechnicaLA @AudioTechnicaAR @AudioTechnicaUK

https://t.co/VfijS9NK9h https://t.co/46TyP6GVTe"
141,"In my opinion, in fact, not because we are Mexicans do we all have to go to the Mexican team, the World Cup is for soccer, for those who like this sport some will; for example, to Brazil, Spain, Germany, Argentina, etc., and that doesn't mean we stop being Mexican."
142,@hablomutcho @njdmarlon @choquei supports argentina and lives in fucking rio grande do sul
143,"A shirt is not a flag, nor a country; A player from Argentina is NOT Mexico's worst enemy, nor someone who deserves hate for a misinterpreted video.

Let's pick our battles better, shall we? @canelo"
144,"@rogelio7funes Good night Rogelio, good first half, I think Argentina will account for Poland, if they put you in you have to go with everything, forward, put it in anyway, header, first-rate shot, pointing, cheer up. A hug"
145,"@Ramiro1291 @Canelo Hold on Argentina ..threats to
 bivol!!!!!!gordo colorado taco eater!!!!!"
146,YaTeCuento | Argentina: Oil companies agreed to a monthly increase of up to 4% https://t.co/OWC7WMwM9j
147,#Maradona says that he puts the sausage hahahahhahahha #d10s #messi #argentina HOLD ON ARGENTINA 🇦🇷 LPTM !!!!!! https://t.co/khWdfrabVz
148,"@Jwillocv Hahaha friend, don't be fooled Argentina has never been a candidate only for the press who wants to see Messi win yes or yes, but they don't see the context, this team has no complement that is good position by position.
The undefeated was made up in friendlies with cool teams and the show"
149,"In Argentina, Archbishop of Salta Appoints Two Exorcists to his Diocese 
The move has caused controversy, namely among liberal Catholics, who claim that the ministry of exorcism is outdated.
N...
https://t.co/NYhPhZo5B3
#LatinAmerica 
#archbishop #argen... https://t.co/uHpYGiwGMC"
150,"@trinidadMNovo We are already taking a long time to implement it in Spain. In the strange competition that we have with Argentina to see who is more progressive, we cannot lose it...either that or surrogate abortion up to 23 years of the fetus already delivered would equalize the match"
151,@asesor1977 @MauroHumano @Canelo And the numbers speak for themselves. Argentina has 2 World Cups and 15 American Cups. Chile has 0 World Cups and only 2 American Cups... Look who the mediocre ones really are
152,"@pau_ramosS And those who came out as fans of Argentina out of nowhere hahahaha, they kick me out"
153,@pequenino_trevo @choquei argentina will never be eliminated kisses
154,Che how difficult it is to be an anorexic in Argentina with the heat that it is I'm going to faint
155,"@GoticSoledad Yes, I fell in love with Argentina!! My family is happy!!"
156,"@ComentCrakNeto And Neto was going to cheer for Argentina in kkkkkkkk, this vein is crazy"
157,@FinoYossen @Argentina https://t.co/FX6EczzDwL
158,"@BeastBoxing1 Este pendejo, only ‘little girls’ cry… hijo d puta …next watch this video w the Mex jersey always on the floor .. & yes, Messi puts on his shoe w Mex shirt hanging then back to floor…THAT’s the prob for Canelo, the lack of RESPECT…stay in UR lane!!
https://t.co/7hMOH1zj22 https://t.co/5uol0JqIyr"
159,"""Argentina was one of the richest countries in the world 100 years ago... Venezuela was too..."" and now they are languishing just as the entire European Union is about to languish (if nothing changes)...

https://t.co/owHyxUuSuE"
160,@vq_s2 We will qualify ourselves against Argentina
161,"@VochoVt It is very ugly how classism directs the thoughts and lives of others.
I don't know about Argentina, but in Mexico we have a severe problem of classism that goes hand in hand with racism and the aspiration to become the -economic - oppressor like the USA :c"
162,@fabriziosumanto @Edzou7 @CBF_Futebol @Casemiro Finally a guy with the Argentine flag who doesn't talk shit 🙏🙏
163,"@re_natamotta @denis_pelegrini @Terra__Brasilis When you talk about joining the AL armies to attack us, who would you be? Venezuela, okay. Chile, perhaps, Argentina and Colombia would never do that, even with leftist presidents. Paraguay and Uruguay, never. Bolivia is a laughing matter."
164,@ssanti_p Will it be said to be mogolic in Argentina? Or will it be a mistake or simple ignorance?
165,@Marianabaldomar Buenos Aires Argentina
166,@walk_er9 @VAMP_AYUSH @ESPNFC you must not know about the argentina ultras that said they would literally kill any player if they injured messi before the wc lmfaoooo canelo won’t do shit
167,"second time hitting base pop comments talking bad about argentina, love my life 🫶🏻"
168,"“The cornice”, by Luis Majul (complete) – 11/27/22 https://t.co/df0qT0wkXN #CorrupcionOJusticia Poverty #Dollar #GoodMonday Messi Argentina Enzo Bangladesh Baradel Malvinas La Plata"
169,"@evrgdl @Chan217 @RicardoBSalinas I saw tweets from a lot of Mexicans before the game, that Mexico was not risking anything because they didn't have a competitive team, that it was another game for Mexico... And that Argentina was losing more and that they were even going let's see suicide"
170,"@FlavioAzzaro It seems to you that he never wore the Argentina shirt, you piece of asshole!!! You're talking about a world champion. You pretend knowledge and you are a re against chicken ice cream!!"
171,"@ElCardenal13 @maravillabox @Canelo I know more about boxing than you will know in your life, I was born in the land that has more world champions. Canelo alone has more world championships than the entire history of Argentina in sports."
172,@oskr66333 I'm from Argentina
173,"Let's go with a World Cup poll, will Argentina or Poland win on Wednesday?"
174,"@Canelo Argentina hasn't won since '86, and I won it with my hand, why do we still think it's a great team and pay so much attention to it? If football is taken away from the Argentines, they are left with nothing,"
175,wl Notice Minting @luiscepeda33 @snooiswinner @Ox_argentina @infinitelyhs_ @donatmesesnyam @manhattanboi23 @yoonjiiii__ @arvthidalgo @brothercytix @september_bwin @meurcsuar @maybigwinsoon @yournjmm @Louie_HanNez45 @2OOOUSD https://t.co/fxkkgkCuD0
176,"@ColunadoFla If I were an Argentine, I'd be playing in the Argentine national team, I think he became a pagodeiro, I'm going to the national team just to play tambourine with Daniel Alves."
177,@vickzff argentina is the head of my dick
178,"@Miguel_layun @Miguel_layun I share your opinion and maybe @Canelo accelerated like all of us, but I have a question about how a ""sweaty"" shirt got to the dressing room in Argentina, it means that someone at @miseleccionmx after the fuck had the shame of exchange it?🤔🤷"
179,"World Cup 2022
Group C
😄
#WorldCup2022
#Argentina
#SaudiArabia
#Poland
#Mexico https://t.co/zNUnpLHmXy"
180,"@SaldanaLagos @EJaeger81 @ErrorArbitralTR Argentina will be sad but will be able to advance rounds more than Brazil by fixture

Poland and Australia in the round of 16, probably in the quarterfinals with the Netherlands, which isn't a big deal either 🤷‍♂️

Let's see how Brazil fares with Germany/Portugal/Uruguay/Croatia"
181,"Argentina, where the bird swims and the fish flies. https://t.co/zpwu9e8hbH"
182,"@harleysinvegas argentina had lost to saudi arabia.
Germany lost to Japan."
183,"@Syodus Pó I think Brazil goes beyond Germany or Spain

Semis has Argentina if you pass first or Denmark if I'm not mistaken"
184,"@RubenVS7 @estefiberardi It's very clear not. But it always happens, there are those who see what is not, those who agree to fool around and there are those who want to separate us because of these nonsense! From Argentina, a hug to your beautiful land."
185,"@herrero_angy Actually, I will always want the big teams that could be considered ""classics"" for Argentina in the World Cup to lose, whatever it is. And it is better that Germany and Argentina go for a different key so that anyone avoids crossing before the final."
186,"@viennajulia @kaycatt2 But it beat Argentina, the team that was stronger than you.. I won by cheating and lying, my friend, and not by the strength and skill of your team."
187,"#Cazzu is booed at #FlowFest after joking about Mexico's defeat against Argentina 😏

https://t.co/oiIUvv0RN1"
188,@Jose_Leo94 @alexxcoria @SoyChuchoTec @Canelo I kept sucking Argentine dick wachin https://t.co/zWjbavEJzg
189,"@khalidjassem74 Argentina will win, ig"
190,"@MichelCaballero Tell your friends Castillo from Peru, Petro from Colombia, Lula from Brazil and Fernández from Argentina how many immigrants from Venezuela they have"
191,"@cereetti come on, in five minutes I'm arriving in Argentina, will you pick me up at the airport? 🥰"
192,Let's go Argentina the shell of his mother two days and I see you 🙏💙🤍💙
193,"The grills of the Argentine National Team: the players are their fans and the AFA took them to make barbecues in Qatar
https://t.co/xmSmQ2b1m8"
194,"José Abadi in ""La mirada"", by Roberto García and Javier García - 11/27/22 https://t.co/P5HbetSk7h #CorrupcionOJusticia Poverty #Dollar #GoodMonday Messi Argentina Enzo Bangladesh Baradel Malvinas La Plata"
195,"As a matter of squad and potential, I include Argentina among the favorites. By tradition, Germany.

Here are my four favorites: Brazil, France, Argentina and Germany. Throw the stones."
196,"and once again, Brazilians who support Argentina, TAKE IT IN THE CENTER OF YOUR FOREBIS DISGRACE"
197,"@Kalel_Torralva For the other to stop bringing DT from that hole called Argentina, I don't know who in their right mind thought it was a good idea to bring someone from there knowing that you could get in the World Cup or other tournaments 😒😒"
198,@Popechampagne @Brisa75548367 @AnthonyyFCB @Canelo How did you eat Messi and Argentina's dick 🤣🤣🤣🤣🤣
199,"ave maria, only these 4 are bigger than argentina! https://t.co/hUJyw63BFL"
200,@The_Dr_Justice @Yahoo In Argentina there are no saints. All the Judges are Participants in the Kirchner River Narco-State of Aguilar Rousseau Stinfale Mexicanos Judicial https://t.co/O2yJ5nGnSd
201,I hope Argentina loses on Wednesday
202,@_3aaz_ Keep going bro. Argentina Games are now fully tweeted
203,Do we all agree that if we used to bank Canelo now does all of Argentina hate him? And whoever doesn't hate him is not Argentine short
204,@JuanPabloCanel4 @djyurish @riquelmy_lima7 @futebol_info argentina x saudi arabia 😮‍💨
205,"@unchiripazo @desh5679 @AlejandroGomezA @yosoy8a @IkerCasillas It's not looking for culprits, it's the explanation of the goal: plain and simple; that plus the pressure from Argentina, the bad mark of HH and that Messi is one of the best players in the world. By the way, I didn't know that Iker was Mexican."
206,"@Miguel_layun @Miguel_layun I share your opinion and maybe @Canelo accelerated like all of us, but I have a question about how a ""sweaty"" shirt got to the dressing room in Argentina, it means that someone at @miseleccionmx after the fuck had the shame of exchange it?🤔🤷"
207,"World Cup 2022
Group C
😄
#WorldCup2022
#Argentina
#SaudiArabia
#Poland
#Mexico https://t.co/zNUnpLHmXy"
