,tweet,clean_tweet
21,"1er. Gol de Brasil al minuto 85 Vs Suiza.

Si Brasil tiene problemas en serio que no tenga problemas el Piojo Alvarado y Antuna para meter gol.

#SeleccionMexicana",er Gol de Brasil al minuto Vs SuizaSi Brasil tiene problemas en serio que tenga problemas el Piojo Alvarado Antuna para meter gol SeleccionMexicana
22,"@GiovaHDZc9 @Faitelson_ESPN Jaja 😜 #messi necesitó doparse con vitaminas, siempre de #Iniesta y #Xavi para formar su carrera, hoy ayuda de #TataMartino para eliminar a una de las peores #SeleccionMexicana.

Cómo bien dices #Ronaldinho quien le dio su primer gol y le mostró cómo gambetear jugaba borracho.",GiovaHDZc Faitelson_ESPN Jaja messi necesitó doparse con vitaminas siempre de Iniesta Xavi para formar su carrera hoy ayuda de TataMartino para eliminar una de las peores SeleccionMexicanaCómo bien dices Ronaldinho quien le dio su primer gol le mostró cómo gambetear jugaba borracho
23,"El fútbol mexicano está a la altura de su inversión de jugadores y de su crecimiento y apoyo a largo plazo, la generación de nuestra  #SeleccionMexicana no tiene el nivel para competir internacionalmente.",El fútbol mexicano está la altura de su inversión de jugadores de su crecimiento apoyo largo plazo la generación de nuestra SeleccionMexicana tiene el nivel para competir internacionalmente
24,"¿Quién es el culpable  de la mala actuación de México en Qatar 2022? 

#Qatar2022 #SeleccionMexicana #TataMartino https://t.co/SlUZXMC2Ws",Quién es el culpable de la mala actuación de México en Qatar Qatar SeleccionMexicana TataMartino tco SlUZXMC Ws
25,"La #SelecciónMexicana sigue sin marcar un sólo gol en #Qatar, pero los que siguen anotando son los aficionados mexicanos y el líder goleador se llama Yahir, ""el hombre bocina""...
 
@LopezOlvera  con la información. 

#AbreLosOjos #ImagenNoticias con @franciscozea @imagenZea https://t.co/5UgM6Icxjn",La SelecciónMexicana sigue sin marcar un sólo gol en Qatar pero los que siguen anotando son los aficionados mexicanos el líder goleador se llama Yahir el hombre bocina LopezOlvera con la información AbreLosOjos ImagenNoticias con franciscozea imagenZea tco UgM Icxjn
26,"Selección Mexicana: ¿De quién era la camiseta de México que 'pateó' Messi?
#Messi #Messico  #SeleccionMexicana #SeleccionArgentina #MexicovsArgentina #ArgentinavsMexico #leomessi10 
#MundialQatar2022 #MundialQatar #Qatar2022 #QatarWorldCup2022  https://t.co/u2E9b8JSNm",Selección Mexicana De quién era la camiseta de México que pateó Messi Messi Messico SeleccionMexicana SeleccionArgentina MexicovsArgentina ArgentinavsMexico leomessi MundialQatar MundialQatar Qatar QatarWorldCup tco u E b JSNm
27,"Selección Mexicana: Guillermo Ochoa 'da la cara' y lanza mensaje a la afición

#SeleccionMexicana #SeleccionArgentina #MexicovsArgentina #ArgentinavsMexico 
#MundialQatar2022 #MundialQatar #Qatar2022 #QatarWorldCup2022 #QatarWorldCup22 #Qatar22
https://t.co/VvPKnZbmLt",Selección Mexicana Guillermo Ochoa da la cara lanza mensaje la afición SeleccionMexicana SeleccionArgentina MexicovsArgentina ArgentinavsMexico MundialQatar MundialQatar Qatar QatarWorldCup QatarWorldCup Qatar tco VvPKnZbmLt
28,"¿Aún te queda duda? #SeleccionArgentina #SeleccionMexicana @fifaworldcup_es  ¿En realidad, ese es tu ídolo? https://t.co/PwuhRsvwpc",Aún te queda duda SeleccionArgentina SeleccionMexicana fifaworldcup_es En realidad ese es tu ídolo tco PwuhRsvwpc
29,"Aficionado explota por la ausencia de Acevedo y otros jugadores en Qatar 

#meta #deportes #SelecciónMexicana https://t.co/iiFvYDBKr1",Aficionado explota por la ausencia de Acevedo otros jugadores en Qatar meta deportes SelecciónMexicana tco iiFvYDBKr
30,"Hace falta algo más que un milagro para que la Selección Mexicana avance a la siguiente ronda de la Copa del Mundo 😳🙏🏻🇲🇽

#Qatar2022 #SeleccionMexicana https://t.co/2vaGXEEE59",Hace falta algo más que un milagro para que la Selección Mexicana avance la siguiente ronda de la Copa del Mundo Qatar SeleccionMexicana tco vaGXEEE
31,"#SeleccionMexicana | #Qatar2022 

¡A dos días del gran día! 

Inicio de semana para @miseleccionmx y se trabaja previo al juego del miércoles ante #KSA . 

#MEX necesita una victoria para soñar con los octavos. https://t.co/RpFAe6FcGe",SeleccionMexicana Qatar A dos días del gran día Inicio de semana para miseleccionmx se trabaja previo al juego del miércoles ante KSA MEX necesita una victoria para soñar con los octavos tco RpFAe FcGe
32,@Canelo #Canelo #SeleccionMexicana https://t.co/1MJj1AreWN,Canelo Canelo SeleccionMexicana tco MJj AreWN
33,"Anótale bien, Tata 🇲🇽📝 https://t.co/CebaRYTJW0",Anótale bien Tata tco CebaRYTJW
34,"Gran polémica, falta de respeto hacia #México #SeleccionMexicana por parte del número 10 de la #SeleccionArgentina  #Messi. Para los que piensan que es mentira abro hilo de ocasiones en que #messi ah dañado y burlado a 3ros https://t.co/IZdfpfuHtC",Gran polémica falta de respeto hacia México SeleccionMexicana por parte del número de la SeleccionArgentina Messi Para los que piensan que es mentira abro hilo de ocasiones en que messi ah dañado burlado ros tco IZdfpfuHtC
35,"VÍDEO | @lupisflowers14, la periodista que correteó a Cuauhtémoc Blanco y a #Maradona hasta lograr tenerlos para su cámara

https://t.co/hAsu4IsafE 

#CuauhtemocBlanco #SeleccionMexicana #Qatar2022 https://t.co/ek0Kg00cK8",VÍDEO lupisflowers la periodista que correteó Cuauhtémoc Blanco Maradona hasta lograr tenerlos para su cámara tco hAsu IsafE CuauhtemocBlanco SeleccionMexicana Qatar tco ek Kg cK
36,"Todo indica que Andrés Guardado terminó su participación en #Qatar2022 y también su carrera con la #SeleccionMexicana 🗣️‼️

Distintos medios informaron que el jugador de 36 años sufrió un tirón en la pierna derecha por lo que estará de baja por lo menos 20 días.

#Qatar https://t.co/4xIGoA08rV",Todo indica que Andrés Guardado terminó su participación en Qatar también su carrera con la SeleccionMexicana Distintos medios informaron que el jugador de años sufrió un tirón en la pierna derecha por lo que estará de baja por lo menos días Qatar tco xIGoA rV
37,"¿Que necesita México para competir en los mundiales?
Que @Televisa deje de manejar a su antojo el fútbol mexicano 
#SeleccionMexicana https://t.co/DQJWxsLc8s",Que necesita México para competir en los mundiales Que Televisa deje de manejar su antojo el fútbol mexicano SeleccionMexicana tco DQJWxsLc
38,@adrenalina @SFuentes08 La unica solucion a todo este desastre de la seleccionmexicana  la tiene la misma aficion mexicana si quieres tener la eperanza de ver a mexico pasar al quinto partido MI QUERIDA AFICION MEXICANA TU MANDAS LEVANTA TU VOZ Y SACA A YON DE LUISA EL ES EL CULPABLE DE TODO,adrenalina SFuentes La unica solucion todo este desastre de la seleccionmexicana la tiene la misma aficion mexicana si quieres tener la eperanza de ver mexico pasar al quinto partido MI QUERIDA AFICION MEXICANA TU MANDAS LEVANTA TU VOZ Y SACA A YON DE LUISA EL ES EL CULPABLE DE TODO
39,ANDRÉS GUARDADO NO JUGARÁ ANTE ARABIA SAUDITA ESTE MIÉRCOLES // #Qatar2022 #futbol⚽️ #internacional #QATAR #guardado #seleccionmexicana #noticias #eldato https://t.co/NeQaNXYsZd,ANDRÉS GUARDADO NO JUGARÁ ANTE ARABIA SAUDITA ESTE MIÉRCOLES Qatar futbol internacional QATAR guardado seleccionmexicana noticias eldato tco NeQaNXYsZd
40,¿Cuál puede ser el rival de México en caso de avanzar a los Octavos de Final del Mundial Qatar 2022? 🇲🇽👀 https://t.co/0qHHngEnIC,Cuál puede ser el rival de México en caso de avanzar los Octavos de Final del Mundial Qatar tco qHHngEnIC
41,"Dejando a un lado las mamadas del #caneloalvarez 
Weyes, ahora todos somos polacos 🤣🤣🤣🤣  venga Polonia, partele el culo a argentina para que califiquemos nosotros 😞 (si es que le ganamos a Arabia 🤣
#SeleccionArgentina #SeleccionMexicana #Polonia #Mundial2022 #Qatar2022 https://t.co/IrtgOPuOOm",Dejando un lado las mamadas del caneloalvarez Weyes ahora todos somos polacos venga Polonia partele el culo argentina para que califiquemos nosotros si es que le ganamos Arabia SeleccionArgentina SeleccionMexicana Polonia Mundial Qatar tco IrtgOPuOOm
42,"Con prohibidas fotos, Suzy Cortez consuela a la Selección Mexicana
@SuzyCortez_ #SuzyCortez 
#SeleccionMexicana #SeleccionArgentina #MexicovsArgentina #ArgentinavsMexico 
#MundialQatar2022 #MundialQatar #Qatar2022 #QatarWorldCup2022 #QatarWorldCup22 
 https://t.co/GoyeqApaR7",Con prohibidas fotos Suzy Cortez consuela la Selección MexicanaSuzyCortez _ SuzyCortez SeleccionMexicana SeleccionArgentina MexicovsArgentina ArgentinavsMexico MundialQatar MundialQatar Qatar QatarWorldCup QatarWorldCup tco GoyeqApaR
43,"La #SeleccionMexicana deja claro que la crisis que existe en nuestro país, consume todo… hasta al fútbol.",La SeleccionMexicana deja claro que la crisis que existe en nuestro país consume todo hasta al fútbol
44,"#Viral 😱🤔  El jugador estrella de #Argentina, Leonel #Messi fue captado pateando supuestamente la playera de la #SelecciónMexicana 

https://t.co/YJho3oEu1b",Viral El jugador estrella de Argentina Leonel Messi fue captado pateando supuestamente la playera de la SelecciónMexicana tco YJho oEu b
45,"Ya @Canelo no mames 😞 deja de humillarnos, pide perdón y cierra Twitter
#mexicoargentina #SeleccionArgentina #SeleccionMexicana",Ya Canelo mames deja de humillarnos pide perdón cierra Twitter mexicoargentina SeleccionArgentina SeleccionMexicana
46,"Me acabo de enterar que el técnico de la #SeleccionMexicana se ""vendió"" en el juego sacando a los refuerzos importantes porque es argentino y tarara tarara... ¿No podemos aceptar simplemente que el equipo no tiene talento y ya? ¿Por qué se les sigue justificando?",Me acabo de enterar que el técnico de la SeleccionMexicana se vendió en el juego sacando los refuerzos importantes porque es argentino tarara tarara No podemos aceptar simplemente que el equipo tiene talento ya Por qué se les sigue justificando
47,"“No se puede vencer al que no sabe rendirse”: AMLO https://t.co/5keOqN1Jad
#Qatar 
#SelecciónMexicana 
#Futbol
#Mundialdefutbol
#2022",No se puede vencer al que sabe rendirse AMLO tco keOqN Jad Qatar SelecciónMexicana Futbol Mundialdefutbol
48,"Pues apenas vi eso de que #Messi ""barrio"" el suelo con la playera de la #SeleccionMexicana y la verdad que el que haya hecho el footage de eso es una persona que solo quiere ver el mundo arder, es cierto que la playera esta en el suelo(como muchas otras), pero de ahi a lo otro..",Pues apenas vi eso de que Messi barrio el suelo con la playera de la SeleccionMexicana la verdad que el que haya hecho el footage de eso es una persona que solo quiere ver el mundo arder es cierto que la playera esta en el suelo como muchas otras pero de ahi lo otro
49,"Atención personalizada y solución en menos de 72 hrs.

#SomosMásQueUnProducto 

#mundial #Qatar #MundialMéxico #Mundial2022 #SelecciónMexicana #partidosdeselección #México70 #mundialqatar2022 #mundiales #mundialqatar22 #crédito #líneadecrédito https://t.co/Icgmaaz4fb",Atención personalizada solución en menos de hrs SomosMásQueUnProducto mundial Qatar MundialMéxico Mundial SelecciónMexicana partidosdeselección México mundialqatar mundiales mundialqatar crédito líneadecrédito tco Icgmaaz fb
50,"¿TODOS CONTRA EL 'CANELO'? 🤔

Cesc Fábregas también le respondió al pugilista tapatío después de amenazar a Messi por supuestamente patear el jersey de la #SeleccionMexicana en #Qatar2022 😳🇲🇽

https://t.co/wULj8diujw",TODOS CONTRA EL CANELO Cesc Fábregas también le respondió al pugilista tapatío después de amenazar Messi por supuestamente patear el jersey de la SeleccionMexicana en Qatar tco wULj diujw
51,Impactantes predicciones nos dio nuestra bella @mhonividente en #EstaMañana por el @heraldo_tv #Canelo #SeleccionMexicana #Chicharito #Sismo #AnimalesenCirculo #AndresGarcia #PoloniavsArgentina excelente forma de iniciar la semana #MhonienEstaMañana https://t.co/stvIiPp28M,Impactantes predicciones nos dio nuestra bella mhonividente en EstaMañana por el heraldo_tv Canelo SeleccionMexicana Chicharito Sismo AnimalesenCirculo AndresGarcia PoloniavsArgentina excelente forma de iniciar la semana MhonienEstaMañana tco stvIiPp M
52,"🥊#ShowBiz | “Que le pida a Dios que no me lo encuentre!!” declaró el #CaneloÁlvarez, luego de asegurar que #Messi piso una playera de la #SeleccionMexicana .🙀
https://t.co/yjukiiy9Zz https://t.co/WrkqzLvqTQ",ShowBiz Que le pida Dios que lo encuentre declaró el CaneloÁlvarez luego de asegurar que Messi piso una playera de la SeleccionMexicana tco yjukiiy Zz tco WrkqzLvqTQ
53,"Recuerda que estamos transmitiendo los partidos del Mundial para que vengas a acompañarnos. ¡Te esperamos!⚽🏆

#mrcoyoacán #mundialqatar #qatar2022 #fifa #copadelmundo #soccer #fútbolsoccer #méxico #selecciónmexicana #chuckylozano #foodmarket #mercadogastronómico #coloniaroma https://t.co/ILLRZ3ozfM",Recuerda que estamos transmitiendo los partidos del Mundial para que vengas acompañarnos Te esperamos mrcoyoacán mundialqatar qatar fifa copadelmundo soccer fútbolsoccer méxico selecciónmexicana chuckylozano foodmarket mercadogastronómico coloniaroma tco ILLRZ ozfM
54,"MISMAS VIBRAS

#SeleccionMexicana 
#FIFAWorldCup 
#Qatar2022 https://t.co/XIryEO9sdg",MISMAS VIBRAS SeleccionMexicana FIFAWorldCup Qatar tco XIryEO sdg
55,"Desde el 12 de noviembre del 2021 sabíamos que tendríamos el PEOR mundial en la historia y ahora resulta que es culpa de los empresarios? Coherencia por favor!! 
#mexicoargentina #Mundial2022 #Salinas #mexicana #SeleccionMexicana 
@RicardoBSalinas",Desde el de noviembre del sabíamos que tendríamos el PEOR mundial en la historia ahora resulta que es culpa de los empresarios Coherencia por favor mexicoargentina Mundial Salinas mexicana SeleccionMexicana RicardoBSalinas
56,"🎙️ El mensaje que mando Guillerrmo Ochoa a la afición mexicana 🇲🇽🙏

Deporfans, ¿Ustedes seguirán creyendo hasta el final? 🤨💬

#miseleccionmx #Mexico #seleccionmexicana #FIFAWorldCup2022 #Qatar #FIFAWorldCup #Qatar2022 https://t.co/UYVUxhgrWx",El mensaje que mando Guillerrmo Ochoa la afición mexicana Deporfans Ustedes seguirán creyendo hasta el final miseleccionmx Mexico seleccionmexicana FIFAWorldCup Qatar FIFAWorldCup Qatar tco UYVUxhgrWx
57,"Lo que hizo Messi si es una falta de respeto para todo México, para esos pequeños que le piden a sus papás una playera, para esos papás que les compran una playera de $100 hasta los que gastan hasta $2000 por sentir orgullo, apoyo y pasión por su país. #SeleccionMexicana",Lo que hizo Messi si es una falta de respeto para todo México para esos pequeños que le piden sus papás una playera para esos papás que les compran una playera de hasta los que gastan hasta por sentir orgullo apoyo pasión por su país SeleccionMexicana
58,"#México cae ante #Argentina y depende de diferentes resultados para pasar 🤨🗑.

#mexicoargentina #Tata #SeleccionMexicana #SeleccionArgentina 
#Qatar2022 

https://t.co/UW8Usi4AX3",México cae ante Argentina depende de diferentes resultados para pasar mexicoargentina Tata SeleccionMexicana SeleccionArgentina Qatar tco UW Usi AX
59,Agradecemos la participación de nuestros alumnos en la Quiniela UMA y felicitamos a nuestros ganadores. #Mundial2022 #Qatar2022 #MexicoVsArgentina #SeleccionMexicana #UniversidadMesoamericana #Cordoba #Alumnos https://t.co/dxwbhaDdZD,Agradecemos la participación de nuestros alumnos en la Quiniela UMA felicitamos nuestros ganadores Mundial Qatar MexicoVsArgentina SeleccionMexicana UniversidadMesoamericana Cordoba Alumnos tco dxwbhaDdZD
60,"Preocuparte por la inseguridad de tu país ❎
Preocuparte por el nivel que da tu selección en el mundial❎
Preocuparte por que Messi ""pateó"" una camisa x✅
#Canelo #SeleccionMexicana #Messi #Qatar2022 #mamada",Preocuparte por la inseguridad de tu país Preocuparte por el nivel que da tu selección en el mundial Preocuparte por que Messi pateó una camisa x Canelo SeleccionMexicana Messi Qatar mamada
61,@DimeChacon_ Los que no les da verguenza es a la selección #messi esta haciendo su trabajo #seleccionmexicana,DimeChacon _ Los que les da verguenza es la selección messi esta haciendo su trabajo seleccionmexicana
62,"La situación entre la #SelecciónMexicana y la argentina tras su encuentro en el #MundialDeQatar2022 ha traspasado la cancha hasta con los famosos como el #CaneloÁlvarez, esto le mandó decir 👀😳🤯 ⚽️🥊

https://t.co/l4xafJbfNR",La situación entre la SelecciónMexicana la argentina tras su encuentro en el MundialDeQatar ha traspasado la cancha hasta con los famosos como el CaneloÁlvarez esto le mandó decir tco l xafJbfNR
63,Cómo siempre guapísima mi amiguis @mhonividente en #EstaMañana por el @heraldo_tv buenísimas predicciones #Canelo #SeleccionMexicana #SeleccionArgentina #Animalescaminandoencirculos #Apocalipsis #SismoDiciembre #Chicharito https://t.co/Fhad5mdV6T,Cómo siempre guapísima mi amiguis mhonividente en EstaMañana por el heraldo_tv buenísimas predicciones Canelo SeleccionMexicana SeleccionArgentina Animalescaminandoencirculos Apocalipsis SismoDiciembre Chicharito tco Fhad mdV T
64,"Lo único que genera el #caneloalvarez con sus tweets sobre #Messi ""pateando"" la playera de México, es hacernos ver cómo malos perdedores. 
@Canelo para de humillarnos más!!! 
#SeleccionMexicana #SeleccionArgentina #Mundial",Lo único que genera el caneloalvarez con sus tweets sobre Messi pateando la playera de México es hacernos ver cómo malos perdedores Canelo para de humillarnos más SeleccionMexicana SeleccionArgentina Mundial
65,"Relájense chingos.
Para empezar, quién fue el groupie de la #SeleccionMexicana que agandalló el jersey de #Messi ?",Relájense chingosPara empezar quién fue el groupie de la SeleccionMexicana que agandalló el jersey de Messi
66,"La estadística juega a favor del Tri ante rivales de Asia. #SelecciónMexicana #SelecciónArabiaSaudita #JustaMundialista #Qatar 
#RBA 
https://t.co/GJAH0B2aKX",La estadística juega favor del Tri ante rivales de Asia SelecciónMexicana SelecciónArabiaSaudita JustaMundialista Qatar RBA tco GJAH B aKX
67,"Si, la #SeleccionMexicana son unos pendejos y el DT que tienen es un imbecil pero una cosa es eso y otra que un enano narizón con aires de grandeza se burle de nuestro país, sea o mo sea símbolo patrio pero es la playera que muchos usan con orgullo y pasión y lo hace sagrado",Si la SeleccionMexicana son unos pendejos el DT que tienen es un imbecil pero una cosa es eso otra que un enano narizón con aires de grandeza se burle de nuestro país sea mo sea símbolo patrio pero es la playera que muchos usan con orgullo pasión lo hace sagrado
68,Así es papus!!! Y lo dijo una voz autorizada. #Mundial2022 #SeleccionMexicana #mexicoargentina https://t.co/V8ObM4tG7v,Así es papus Y lo dijo una voz autorizada Mundial SeleccionMexicana mexicoargentina tco V ObM tG v
69,"El ex futbolista mexicano quiere cambios dentro de las estructuras de la Liga MX tras caer frente a Argentina en Qatar 2022
#QatarWorldCup2022 #Mexico #LigaMX #Hermosillo #FIFAWorldCupQatar2022 
https://t.co/0iFAUL67JC",El ex futbolista mexicano quiere cambios dentro de las estructuras de la Liga MX tras caer frente Argentina en Qatar QatarWorldCup Mexico LigaMX Hermosillo FIFAWorldCupQatar tco iFAUL JC
70,@ArinaDiadette @ErnestoAmador Sabe que es lo que sucede que no sabe como esconder la derrota y lo mal que está la selección de #Mexico que necesita crear dicha polémica innecesaria para tapar lo vergüenza que dan ojo hablo de la #Selecciónmexicana,ArinaDiadette ErnestoAmador Sabe que es lo que sucede que sabe como esconder la derrota lo mal que está la selección de Mexico que necesita crear dicha polémica innecesaria para tapar lo vergüenza que dan ojo hablo de la Selecciónmexicana
71,"Guillermo Ochoa y su esperanzador mensaje para la afición mexicana

#Qatar2022 #FIFAWorldCup #SeleccionMexicana 

https://t.co/Pq41gQFLHE https://t.co/0KPw2u4oYj",Guillermo Ochoa su esperanzador mensaje para la afición mexicana Qatar FIFAWorldCup SeleccionMexicana tco Pq gQFLHE tco KPw u oYj
72,"Al saber los resultados qué necesita México para pasar a la siguiente fase 😐 🤔

 Mi mente luego luego... 💭

#Mexico #QatarWorldCup2022 #MexicoVsArgentina #MexicoVsArabia #WorldCup #SeleccionMexicana #Tricolor https://t.co/FArrb4kEBq",Al saber los resultados qué necesita México para pasar la siguiente fase Mi mente luego luego Mexico QatarWorldCup MexicoVsArgentina MexicoVsArabia WorldCup SeleccionMexicana Tricolor tco FArrb kEBq
73,"🗣️ Las palabras de Memo Ochoa a la afición para seguir creyendo 🇲🇽🧤

Deporfans, ¿Creen qué la selección mexicana logre avanzar de ronda? 🤔💬

#Mundial #miseleccionmx #seleccionmexicana #FIFAWorldCup #Qatar2022

https://t.co/xhOzlrhOml",Las palabras de Memo Ochoa la afición para seguir creyendo Deporfans Creen qué la selección mexicana logre avanzar de ronda Mundial miseleccionmx seleccionmexicana FIFAWorldCup Qatar tco xhOzlrhOml
